movie_id,genre_id
0,0
17,0
45,0
74,0
81,0
83,0
94,0
97,0
99,0
107,0
139,0
147,0
171,0
187,0
205,0
220,0
229,0
241,0
254,0
257,0
271,0
285,0
301,0
306,0
315,0
356,0
362,0
365,0
368,0
373,0
387,0
390,0
417,0
440,0
442,0
453,0
463,0
475,0
480,0
494,0
511,0
515,0
518,0
521,0
525,0
596,0
625,0
659,0
664,0
706,0
723,0
725,0
739,0
744,0
775,0
827,0
841,0
854,0
868,0
873,0
879,0
882,0
891,0
905,0
918,0
932,0
987,0
989,0
1032,0
1033,0
1045,0
1048,0
1068,0
1081,0
1094,0
1119,0
1122,0
1126,0
1127,0
1149,0
1154,0
1161,0
1170,0
1188,0
1193,0
1208,0
1229,0
1251,0
1252,0
1256,0
1258,0
1269,0
1287,0
1310,0
1313,0
1324,0
1340,0
1343,0
1346,0
1378,0
1385,0
1386,0
1413,0
1420,0
1426,0
1435,0
1464,0
1483,0
1498,0
1510,0
1544,0
1549,0
1563,0
1571,0
1573,0
0,1
10,1
29,1
38,1
52,1
74,1
147,1
207,1
220,1
224,1
235,1
236,1
254,1
264,1
299,1
312,1
351,1
373,1
389,1
390,1
393,1
426,1
451,1
475,1
515,1
518,1
520,1
571,1
574,1
599,1
600,1
607,1
612,1
618,1
632,1
640,1
644,1
661,1
690,1
696,1
706,1
729,1
733,1
744,1
799,1
817,1
848,1
867,1
870,1
905,1
956,1
994,1
1008,1
1011,1
1030,1
1033,1
1057,1
1068,1
1069,1
1114,1
1117,1
1134,1
1144,1
1157,1
1161,1
1182,1
1185,1
1196,1
1207,1
1230,1
1251,1
1262,1
1322,1
1334,1
1340,1
1343,1
1386,1
1428,1
1436,1
1438,1
1440,1
1443,1
1482,1
1489,1
1506,1
1509,1
1531,1
1544,1
1549,1
1551,1
0,2
26,2
29,2
74,2
107,2
147,2
200,2
254,2
312,2
361,2
393,2
600,2
607,2
612,2
618,2
661,2
706,2
733,2
817,2
848,2
894,2
998,2
1003,2
1081,2
1114,2
1134,2
1207,2
1247,2
1340,2
1428,2
1436,2
1440,2
1489,2
1544,2
1,3
2,3
3,3
6,3
9,3
10,3
13,3
20,3
22,3
26,3
28,3
33,3
38,3
51,3
52,3
61,3
64,3
65,3
78,3
79,3
92,3
96,3
111,3
115,3
117,3
125,3
126,3
132,3
138,3
139,3
142,3
146,3
148,3
160,3
184,3
192,3
196,3
199,3
202,3
210,3
216,3
224,3
230,3
235,3
240,3
243,3
248,3
250,3
255,3
256,3
257,3
259,3
264,3
271,3
272,3
276,3
278,3
280,3
285,3
292,3
297,3
298,3
299,3
300,3
305,3
306,3
309,3
314,3
319,3
321,3
327,3
329,3
335,3
350,3
351,3
355,3
356,3
359,3
360,3
363,3
364,3
365,3
372,3
373,3
376,3
378,3
380,3
389,3
407,3
412,3
413,3
426,3
436,3
439,3
440,3
451,3
453,3
455,3
456,3
457,3
460,3
463,3
464,3
468,3
471,3
473,3
483,3
489,3
494,3
502,3
510,3
518,3
521,3
537,3
539,3
540,3
542,3
549,3
550,3
551,3
554,3
557,3
560,3
562,3
566,3
569,3
570,3
571,3
573,3
574,3
585,3
599,3
622,3
625,3
628,3
629,3
631,3
632,3
638,3
640,3
642,3
643,3
644,3
651,3
653,3
657,3
665,3
672,3
674,3
676,3
678,3
685,3
687,3
688,3
690,3
694,3
695,3
705,3
710,3
714,3
719,3
721,3
722,3
734,3
741,3
745,3
753,3
756,3
763,3
765,3
769,3
771,3
776,3
792,3
799,3
801,3
809,3
812,3
813,3
816,3
821,3
830,3
843,3
846,3
856,3
861,3
864,3
867,3
870,3
877,3
884,3
892,3
894,3
896,3
904,3
905,3
907,3
914,3
915,3
927,3
930,3
933,3
934,3
939,3
943,3
953,3
956,3
963,3
964,3
967,3
980,3
985,3
986,3
987,3
993,3
1000,3
1003,3
1010,3
1022,3
1023,3
1024,3
1026,3
1030,3
1032,3
1033,3
1036,3
1037,3
1052,3
1053,3
1056,3
1057,3
1061,3
1068,3
1070,3
1071,3
1077,3
1079,3
1085,3
1087,3
1088,3
1091,3
1093,3
1094,3
1095,3
1102,3
1115,3
1116,3
1117,3
1126,3
1127,3
1129,3
1131,3
1132,3
1136,3
1142,3
1143,3
1144,3
1145,3
1148,3
1157,3
1164,3
1169,3
1171,3
1185,3
1186,3
1188,3
1191,3
1195,3
1196,3
1199,3
1201,3
1210,3
1216,3
1226,3
1229,3
1230,3
1234,3
1241,3
1258,3
1262,3
1269,3
1273,3
1279,3
1282,3
1287,3
1295,3
1299,3
1304,3
1308,3
1309,3
1316,3
1322,3
1323,3
1325,3
1330,3
1332,3
1344,3
1363,3
1364,3
1366,3
1368,3
1369,3
1373,3
1384,3
1386,3
1396,3
1406,3
1411,3
1415,3
1417,3
1429,3
1431,3
1437,3
1438,3
1443,3
1444,3
1468,3
1478,3
1482,3
1483,3
1487,3
1494,3
1502,3
1506,3
1508,3
1509,3
1514,3
1527,3
1531,3
1534,3
1537,3
1539,3
1540,3
1549,3
1550,3
1556,3
1558,3
1568,3
1570,3
1585,3
1,4
2,4
6,4
20,4
36,4
55,4
57,4
61,4
64,4
81,4
106,4
116,4
117,4
118,4
122,4
125,4
131,4
156,4
160,4
165,4
179,4
180,4
183,4
184,4
185,4
189,4
197,4
222,4
233,4
243,4
246,4
250,4
260,4
268,4
275,4
279,4
281,4
292,4
305,4
309,4
316,4
341,4
367,4
374,4
376,4
394,4
405,4
412,4
413,4
426,4
431,4
441,4
452,4
455,4
456,4
465,4
469,4
470,4
480,4
481,4
485,4
488,4
496,4
498,4
499,4
501,4
502,4
506,4
524,4
526,4
551,4
554,4
559,4
570,4
575,4
576,4
577,4
580,4
587,4
588,4
589,4
590,4
593,4
600,4
614,4
628,4
629,4
633,4
634,4
636,4
643,4
652,4
666,4
681,4
682,4
687,4
691,4
694,4
700,4
711,4
716,4
726,4
734,4
736,4
741,4
745,4
751,4
759,4
766,4
786,4
793,4
800,4
815,4
818,4
819,4
824,4
829,4
830,4
839,4
850,4
856,4
865,4
866,4
894,4
895,4
908,4
915,4
925,4
928,4
940,4
942,4
