date_time,movie_id,box_office,attendees
2024-07-05,1236,0.0,0
2024-07-05,82,0.0,0
2024-07-05,681,0.0,0
2024-07-05,1254,0.0,0
2024-07-05,950,0.0,0
2024-07-05,393,0.0,0
2024-07-05,1114,0.0,0
2024-07-05,1233,0.0,0
2024-07-05,354,0.0,0
2024-07-05,1066,0.0,0
2024-07-05,529,0.0,0
2024-07-05,1146,0.0,0
2024-07-05,40,0.0,0
2024-07-05,1452,0.0,0
2024-07-05,487,0.0,0
2024-07-05,749,0.0,0
2024-07-05,952,0.0,0
2024-07-06,94,11203.4,2674782
2024-07-06,524,1886.49,454599
2024-07-06,774,1369.34,340662
2024-07-06,1525,1094.81,253172
2024-07-06,648,1010.92,261321
2024-07-06,496,753.63,183546
2024-07-06,1116,550.71,127020
2024-07-06,733,442.24,105354
2024-07-06,1092,113.9,30225
2024-07-06,357,98.32,25489
2024-07-06,1150,92.87,25392
2024-07-06,530,56.05,12170
2024-07-06,855,44.78,11039
2024-07-06,1337,24.34,5710
2024-07-06,116,20.36,4957
2024-07-06,844,18.62,4377
2024-07-06,779,17.9,4171
2024-07-06,719,17.68,4037
2024-07-06,1509,16.73,3529
2024-07-06,942,12.2,3415
2024-07-06,1153,10.33,1592
2024-07-06,1024,7.82,2000
2024-07-06,752,7.23,2106
2024-07-06,1550,6.86,1520
2024-07-06,1314,6.75,1516
2024-07-06,320,6.26,1515
2024-07-06,1286,5.99,1879
2024-07-06,187,4.62,1156
2024-07-06,1062,4.43,941
2024-07-06,598,4.21,1133
2024-07-06,966,2.96,884
2024-07-06,1357,2.96,818
2024-07-06,921,2.47,652
2024-07-06,1449,2.35,658
2024-07-06,1101,2.03,601
2024-07-06,973,1.99,525
2024-07-06,1261,1.96,582
2024-07-06,1093,1.55,409
2024-07-06,1545,1.52,345
2024-07-06,1436,1.38,435
2024-07-06,1002,1.36,316
2024-07-06,215,1.33,457
2024-07-06,282,1.33,534
2024-07-06,1096,1.31,454
2024-07-06,419,1.18,288
2024-07-06,796,1.09,254
2024-07-06,899,1.08,274
2024-07-06,348,1.03,308
2024-07-06,1399,1.02,411
2024-07-06,1290,0.89,330
2024-07-06,1020,0.87,259
2024-07-06,707,0.86,193
2024-07-06,256,0.85,216
2024-07-06,397,0.82,214
2024-07-06,434,0.79,176
2024-07-06,721,0.78,237
2024-07-06,1370,0.78,261
2024-07-06,36,0.77,203
2024-07-06,876,0.71,165
2024-07-06,254,0.7,215
2024-07-06,806,0.69,219
2024-07-06,23,0.67,149
2024-07-06,913,0.53,161
2024-07-06,1098,0.48,168
2024-07-06,492,0.47,156
2024-07-06,800,0.44,115
2024-07-06,1485,0.33,66
2024-07-06,420,0.31,124
2024-07-06,807,0.29,83
2024-07-06,1283,0.29,98
2024-07-06,317,0.27,86
2024-07-06,1315,0.2,77
2024-07-06,1340,0.17,60
2024-07-06,1493,0.11,31
2024-07-06,269,0.11,43
2024-07-06,1159,0.09,27
2024-07-06,491,0.09,32
2024-07-06,1228,0.08,24
2024-07-06,789,0.06,21
2024-07-06,932,0.05,14
2024-07-06,1006,0.05,18
2024-07-06,1389,0.05,19
2024-07-06,82,0.04,12
2024-07-06,995,0.03,13
2024-07-06,1452,0.03,9
2024-07-06,498,0.03,12
2024-07-06,392,0.03,15
2024-07-06,680,0.03,15
2024-07-06,322,0.02,7
2024-07-06,1173,0.02,9
2024-07-06,1215,0.02,5
2024-07-06,695,0.02,5
2024-07-06,764,0.02,8
2024-07-06,1109,0.01,3
2024-07-06,736,0.01,3
2024-07-06,704,0.01,3
2024-07-06,1075,0.01,107
2024-07-06,1162,0.01,2
2024-07-06,1428,0.0,3
2024-07-06,511,0.0,2
2024-07-06,1114,0.0,2
2024-07-06,1248,0.0,2
2024-07-06,601,0.0,1
2024-07-06,209,0.0,0
2024-07-06,274,0.0,0
2024-07-06,88,0.0,1
2024-07-06,55,0.0,196
2024-07-06,1495,0.0,4
2024-07-06,493,0.0,14
2024-07-06,1400,0.0,0
2024-07-06,634,0.0,0
2024-07-06,372,0.0,0
2024-07-06,509,0.0,0
2024-07-06,668,0.0,0
2024-07-06,238,0.0,0
2024-07-06,27,0.0,0
2024-07-06,1362,0.0,0
2024-07-06,853,0.0,0
2024-07-06,403,0.0,0
2024-07-06,1253,0.0,0
2024-07-06,25,0.0,0
2024-07-06,310,0.0,0
2024-07-06,786,0.0,0
2024-07-06,831,0.0,0
2024-07-06,619,0.0,0
2024-07-06,157,0.0,0
2024-07-06,760,0.0,0
2024-07-06,1521,0.0,0
2024-07-06,1447,0.0,0
2024-07-06,1041,0.0,0
2024-07-06,802,0.0,0
2024-07-06,201,0.0,0
2024-07-06,1043,0.0,0
2024-07-06,1238,0.0,0
2024-07-06,915,0.0,0
2024-07-06,903,0.0,0
2024-07-06,1036,0.0,0
2024-07-06,118,0.0,0
2024-07-06,103,0.0,0
2024-07-06,666,0.0,0
2024-07-06,177,0.0,0
2024-07-06,982,0.0,0
2024-07-06,100,0.0,0
2024-07-06,1421,0.0,0
2024-07-06,1236,0.0,0
2024-07-06,1284,0.0,0
2024-07-06,267,0.0,0
2024-07-06,681,0.0,0
2024-07-06,326,0.0,0
2024-07-06,341,0.0,0
2024-07-06,408,0.0,0
2024-07-06,859,0.0,0
2024-07-06,149,0.0,0
2024-07-06,246,0.0,0
2024-07-06,240,0.0,0
2024-07-06,354,0.0,0
2024-07-06,555,0.0,0
2024-07-06,1066,0.0,0
2024-07-06,66,0.0,0
2024-07-06,40,0.0,0
2024-07-06,1356,0.0,0
2024-07-06,1231,0.0,0
