日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-09-01,异形：夺命舰,上映17天,6.61亿,1943.74万,21.6%,83356,19.3%,5.7,3.2%
2024-09-01,重生,上映17天,3.20亿,1538.96万,17.1%,48528,11.2%,7.5,6.2%
2024-09-01,抓娃娃,上映48天,32.62亿,866.57万,9.6%,32923,7.6%,6.4,5.4%
2024-09-01,姥姥的外孙,上映10天,7634.9万,787.67万,8.7%,28732,6.6%,7.2,6.7%
2024-09-01,逆鳞,上映10天,1.40亿,782.20万,8.7%,40324,9.3%,4.6,3.8%
2024-09-01,名侦探柯南：百万美元的五棱星,上映17天,2.53亿,678.34万,7.5%,30799,7.1%,5.7,5.1%
2024-09-01,白蛇：浮生,上映23天,3.96亿,582.10万,6.4%,25648,5.9%,5.5,4.9%
2024-09-01,刺猬,上映10天,1.25亿,568.68万,6.3%,36360,8.4%,3.9,3.5%
2024-09-01,神偷奶爸4,上映52天,4.10亿,257.76万,2.8%,10445,2.4%,6.4,6.3%
2024-09-01,通往夏天的隧道，再见的出口,上映3天,1109.6万,189.34万,2.1%,24587,5.6%,2.1,2.0%
2024-09-01,逆行人生,上映24天,3.46亿,181.26万,2.0%,8490,1.9%,5.1,5.1%
2024-09-01,食神,上映2天,435.5万,114.32万,1.2%,13307,3.0%,2.2,2.1%
2024-09-01,新龙门客栈（舞台纪录电影·越剧）,上映3天,374.0万,56.64万,0.6%,6583,1.5%,2.5,2.5%
2024-09-01,死侍与金刚狼,上映38天,4.27亿,51.51万,0.5%,2253,0.5%,5.2,4.8%
2024-09-01,转生大作战,上映3天,252.8万,39.14万,0.4%,9339,2.1%,1.1,1.2%
2024-09-01,假如，我是这世上最爱你的人,上映10天,1390.8万,39.09万,0.4%,5863,1.3%,1.7,2.0%
2024-09-01,喜羊羊与灰太狼之守护,上映45天,8989.2万,38.44万,0.4%,3375,0.7%,3.4,3.6%
2024-09-01,航海王：强者天下,上映10天,1180.0万,28.22万,0.3%,3134,0.7%,2.4,2.5%
2024-09-01,解密,上映30天,3.30亿,27.98万,0.3%,1725,0.3%,4.0,4.6%
2024-09-01,只此青绿,点映,55.6万,23.19万,0.2%,25,<0.1%,144.5,53.1%
2024-09-01,爱情，到此为止,上映3天,110.6万,21.52万,0.2%,3007,0.6%,1.6,1.7%
2024-09-01,头脑特工队2,上映73天,3.43亿,20.65万,0.2%,988,0.2%,5.3,5.6%
2024-09-01,默杀,上映61天,13.50亿,15.60万,0.1%,1703,0.3%,2.3,2.4%
2024-09-01,从21世纪安全撤离,上映31天,1.11亿,14.41万,0.1%,716,0.1%,9.5,4.4%
2024-09-01,你的名字。,,7.12亿,9.85万,0.1%,400,<0.1%,5.5,5.6%
2024-09-01,灌篮高手,,6.63亿,7.59万,<0.1%,70,<0.1%,19.8,11.1%
2024-09-01,江南：在爱开始的地方等你,点映,12.8万,6.99万,<0.1%,27,<0.1%,82.2,61.2%
2024-09-01,人海同游,上映6天,44.4万,6.25万,<0.1%,3309,0.7%,0.5,0.5%
2024-09-01,里斯本丸沉没,点映,114.6万,6.20万,<0.1%,26,<0.1%,42.5,19.9%
2024-09-01,负负得正,上映23天,6950.8万,6.11万,<0.1%,375,<0.1%,3.9,4.3%
2024-09-01,奇迹舞社,上映3天,14.3万,5.52万,<0.1%,18,<0.1%,73.9,63.8%
