日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2025-06-01,碟中谍8：最终清算,上映3天,1.84亿,7487.21万,37.1%,115388,25.0%,15.4,10.2%
2025-06-01,哆啦A梦：大雄的绘画奇遇记,上映2天,5373.9万,3574.16万,17.7%,99333,21.5%,9.7,8.5%
2025-06-01,时间之子,上映3天,6291.3万,3080.03万,15.2%,71029,15.3%,12.3,11.7%
2025-06-01,星际宝贝史迪奇,上映10天,1.28亿,2435.37万,12.0%,44439,9.6%,13.8,12.1%
2025-06-01,私家侦探,上映2天,3084.8万,1453.57万,7.2%,59035,12.7%,6.9,6.8%
2025-06-01,哪吒之魔童闹海,,154.27亿,727.14万,3.6%,13566,2.9%,13.1,12.2%
2025-06-01,水饺皇后,上映33天,4.06亿,305.06万,1.5%,9008,1.9%,8.8,9.2%
2025-06-01,潜艇总动员：冒险岛,上映2天,324.4万,245.00万,1.2%,19743,4.2%,3.7,3.6%
2025-06-01,红嫁衣,上映3天,731.4万,235.48万,1.1%,9414,2.0%,7.8,8.1%
2025-06-01,猎金·游戏,上映32天,2.93亿,91.59万,0.4%,3876,0.8%,5.9,6.3%
2025-06-01,海底小纵队：海啸大危机,上映32天,3243.8万,79.51万,0.3%,2947,0.6%,8.2,8.4%
2025-06-01,我的世界大电影,上映59天,2.11亿,78.99万,0.3%,1790,0.3%,12.2,12.9%
2025-06-01,幽灵公主,上映32天,1.09亿,60.12万,0.2%,1379,0.2%,11.2,12.8%
2025-06-01,熊出没·重启未来,,8.21亿,55.52万,0.2%,1313,0.2%,11.0,11.1%
2025-06-01,情书,,8754.8万,38.32万,0.1%,1107,0.2%,9.1,11.2%
2025-06-01,人生开门红,上映32天,1.37亿,31.45万,0.1%,1589,0.3%,5.0,5.9%
2025-06-01,2025年全国艺联“时光之镜·中外经典影片展”,上映4天,78.5万,24.48万,0.1%,60,<0.1%,86.5,--
2025-06-01,妈妈，我想你,,189.8万,16.68万,<0.1%,516,0.1%,10.5,13.1%
2025-06-01,攻壳机动队,上映23天,1433.6万,16.16万,<0.1%,533,0.1%,7.4,7.4%
2025-06-01,折翼的天使,上映66天,136.8万,15.07万,<0.1%,71,<0.1%,63.6,34.7%
2025-06-01,机动战士高达：跨时之战,上映59天,2217.5万,12.73万,<0.1%,123,<0.1%,21.0,26.1%
2025-06-01,上海市2025比利时经典电影展,上映2天,23.3万,11.48万,<0.1%,3,<0.1%,524.7,--
2025-06-01,苍茫的天涯是我的爱,上映32天,8800.4万,8.09万,<0.1%,762,0.1%,2.8,3.9%
2025-06-01,孤独摇滚(下),上映23天,747.7万,7.03万,<0.1%,321,<0.1%,6.1,6.1%
2025-06-01,大风杀,上映32天,5613.1万,5.54万,<0.1%,351,<0.1%,4.1,5.5%
2025-06-01,新大头儿子和小头爸爸3：俄罗斯奇遇记,,1.58亿,5.51万,<0.1%,922,0.1%,2.1,2.2%
2025-06-01,开心超人之逆世营救,上映32天,1277.3万,4.91万,<0.1%,326,<0.1%,4.9,5.8%
2025-06-01,踢出个未来,,155.2万,3.88万,<0.1%,18,<0.1%,85.4,70.3%
2025-06-01,永不失联的爱,上映13天,373.7万,3.52万,<0.1%,235,<0.1%,5.3,7.1%
