日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2025-05-01,水饺皇后,上映2天,6764.3万,4512.71万,24.4%,112128,22.2%,10.2,7.2%
2025-05-01,猎金·游戏,上映首日,3527.4万,3516.22万,19.0%,89909,17.8%,9.8,8.1%
2025-05-01,人生开门红,上映首日,2620.9万,1890.60万,10.2%,82052,16.2%,5.8,5.3%
2025-05-01,幽灵公主,上映首日,1760.3万,1758.71万,9.5%,37126,7.3%,12.0,10.4%
2025-05-01,苍茫的天涯是我的爱,上映首日,1777.2万,1750.11万,9.4%,67654,13.4%,6.7,6.4%
2025-05-01,雷霆特攻队*,上映2天,3485.2万,1693.55万,9.1%,22691,4.5%,16.3,9.2%
2025-05-01,哪吒之魔童闹海,上映93天,153.17亿,1046.38万,5.6%,11885,2.3%,21.1,17.2%
2025-05-01,大风杀,上映首日,892.8万,753.67万,4.0%,25707,5.1%,8.4,9.0%
2025-05-01,海底小纵队：海啸大危机,上映首日,670.6万,664.64万,3.5%,21143,4.1%,9.1,9.1%
2025-05-01,开心超人之逆世营救,上映首日,357.7万,351.88万,1.9%,15922,3.1%,6.1,6.2%
2025-05-01,独一无二,点映,205.3万,191.94万,1.0%,9902,1.9%,5.1,6.2%
2025-05-01,我的世界大电影,上映28天,1.89亿,133.79万,0.7%,2107,0.4%,16.8,16.3%
2025-05-01,孤独摇滚（上）,上映7天,1349.9万,90.94万,0.4%,1274,0.2%,18.8,18.0%
2025-05-01,熊出没·重启未来,上映93天,8.16亿,18.08万,<0.1%,608,0.1%,7.7,8.1%
2025-05-01,2025年上海“缪斯的多重曝光：德菲因·塞里格逝世35周年法国影展,上映7天,27.9万,13.73万,<0.1%,3,<0.1%,603.0,--
2025-05-01,向阳·花,上映28天,2.28亿,10.26万,<0.1%,500,<0.1%,6.7,7.7%
2025-05-01,不说话的爱,上映29天,1.42亿,8.46万,<0.1%,194,<0.1%,10.9,14.3%
2025-05-01,唐探1900,上映93天,36.06亿,6.35万,<0.1%,169,<0.1%,8.4,10.5%
2025-05-01,熊孩子·探险熊兵,展映,6.0万,6.03万,<0.1%,1474,0.2%,1.3,1.5%
2025-05-01,有病才会喜欢你,上映13天,2237.3万,4.27万,<0.1%,167,<0.1%,7.3,10.5%
2025-05-01,孤独的美食家 剧场版,上映14天,734.1万,4.10万,<0.1%,55,<0.1%,15.2,19.5%
2025-05-01,破·地狱：感恩特别版,上映28天,139.4万,3.76万,<0.1%,184,<0.1%,5.2,5.2%
2025-05-01,谯国夫人,,1511.2万,3.71万,<0.1%,4,<0.1%,186.0,94.9%
2025-05-01,热烈,,9.33亿,2.82万,<0.1%,31,<0.1%,39.8,42.7%
2025-05-01,猎狐·行动,上映28天,8730.5万,2.57万,<0.1%,221,<0.1%,3.5,3.6%
2025-05-01,猫猫的奇幻漂流,上映63天,2797.8万,2.18万,<0.1%,48,<0.1%,10.3,10.7%
2025-05-01,射雕英雄传：侠之大者,上映93天,6.87亿,1.87万,<0.1%,24,<0.1%,15.4,14.8%
2025-05-01,钢琴搬来搬去,上映6天,13.3万,1.74万,<0.1%,6,<0.1%,97.0,59.2%
2025-05-01,机动战士高达：跨时之战,上映28天,2003.7万,1.43万,<0.1%,88,<0.1%,3.9,4.0%
2025-05-01,加拉帕戈斯：自然的仙境,展映,104.4万,1.18万,<0.1%,1,<0.1%,273.0,83.5%
2025-05-01,北极荒原,展映,201.0万,1.06万,<0.1%,2,<0.1%,122.5,37.3%
2025-05-01,折翼的天使,上映35天,82.6万,0.93万,<0.1%,7,<0.1%,43.1,--
2025-05-01,雄狮少年,,2.49亿,0.89万,<0.1%,7,<0.1%,34.9,27.7%
2025-05-01,夜半凶宅,上映49天,373.0万,0.84万,<0.1%,75,<0.1%,3.6,4.6%
2025-05-01,封神第二部：战火西岐,上映93天,12.36亿,0.84万,<0.1%,3,<0.1%,58.7,--
2025-05-01,命中罪爱,上映20天,127.3万,0.65万,<0.1%,8,<0.1%,32.5,0.1%
2025-05-01,速度与激情7,,24.42亿,0.63万,<0.1%,32,<0.1%,5.6,5.8%
2025-05-01,荒蛮故事,上映21天,284.6万,0.58万,<0.1%,19,<0.1%,7.3,11.0%
2025-05-01,海绵宝宝：皮老板大电影,上映55天,1240.6万,0.48万,<0.1%,60,<0.1%,2.4,3.7%
2025-05-01,谍网追凶,上映21天,622.1万,0.46万,<0.1%,11,<0.1%,6.5,9.4%
2025-05-01,此心安处,上映21天,521.1万,0.41万,<0.1%,34,<0.1%,2.8,4.0%
2025-05-01,摇滚诗人:未知的传奇,上映10天,96.7万,0.35万,<0.1%,10,<0.1%,5.4,6.7%
2025-05-01,还有明天,上映55天,4478.0万,0.35万,<0.1%,16,<0.1%,5.0,5.7%
2025-05-01,超级的我,,1237.0万,0.30万,<0.1%,8,<0.1%,10.0,--
2025-05-01,荣耀,上映6天,30.5万,0.27万,<0.1%,59,<0.1%,1.6,12.8%
2025-05-01,火之鸟 伊甸之花,上映14天,85.6万,0.18万,<0.1%,11,<0.1%,3.7,5.4%
2025-05-01,触碰你,上映13天,458.2万,0.18万,<0.1%,24,<0.1%,2.1,2.4%
2025-05-01,黎明的一切,上映14天,154.0万,0.16万,<0.1%,6,<0.1%,4.0,5.4%
2025-05-01,寻秘自然：地球往事,,152.8万,0.15万,<0.1%,1,<0.1%,53.0,49.0%
2025-05-01,蛟龙行动,上映93天,3.93亿,0.15万,<0.1%,1,<0.1%,21.0,100.0%
2025-05-01,乐一通大电影：地球爆炸之日,上映14天,166.1万,0.14万,<0.1%,38,<0.1%,1.1,1.2%
2025-05-01,疾速追杀4,上映49天,4486.7万,0.08万,<0.1%,8,<0.1%,2.5,4.0%
2025-05-01,制暴：无限杀机,上映35天,4451.6万,0.08万,<0.1%,15,<0.1%,1.5,4.1%
2025-05-01,少年先锋,,74.6万,0.03万,<0.1%,1,<0.1%,10.0,--
2025-05-01,午时三刻,上映28天,9.7万,0.02万,<0.1%,12,<0.1%,0.6,0.9%
2025-05-01,开心超人,,3545.0万,0.02万,<0.1%,4,<0.1%,1.5,2.0%
