日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2025-03-01,哪吒之魔童闹海,上映32天,141.46亿,23439.88万,81.3%,225371,55.2%,23.7,16.7%
2025-03-01,唐探1900,上映32天,34.14亿,2291.59万,7.9%,54373,13.3%,9.9,10.1%
2025-03-01,熊出没·重启未来,上映32天,7.75亿,698.24万,2.4%,24382,5.9%,7.1,7.6%
2025-03-01,诡才之道,上映8天,2562.3万,475.76万,1.6%,15150,3.7%,7.7,8.2%
2025-03-01,封神第二部：战火西岐,上映32天,12.08亿,417.08万,1.4%,15273,3.7%,5.9,6.9%
2025-03-01,初步举证,上映2天,512.5万,289.86万,1.0%,10632,2.6%,6.8,7.1%
2025-03-01,猫猫的奇幻漂流,上映2天,387.6万,249.67万,0.8%,9404,2.3%,6.5,7.1%
2025-03-01,射雕英雄传：侠之大者,上映32天,6.65亿,189.90万,0.6%,6236,1.5%,7.1,8.4%
2025-03-01,花样年华,上映16天,5647.2万,126.24万,0.4%,5247,1.2%,5.7,6.2%
2025-03-01,您的声音,上映12天,4937.5万,119.30万,0.4%,7077,1.7%,4.0,4.0%
2025-03-01,阴阳师0,上映2天,176.3万,108.01万,0.3%,15866,3.8%,1.7,1.8%
2025-03-01,美国队长4,上映16天,1.02亿,92.39万,0.3%,6813,1.6%,3.2,3.4%
2025-03-01,你的颜色,上映9天,1575.8万,90.10万,0.3%,5894,1.4%,4.1,4.3%
2025-03-01,还有明天,点映,119.9万,76.66万,0.2%,879,0.2%,21.0,22.8%
2025-03-01,致命抉择,上映2天,78.2万,35.53万,0.1%,3119,0.7%,3.2,3.3%
2025-03-01,异乡来客,上映72天,306.6万,25.52万,<0.1%,63,<0.1%,83.5,61.7%
2025-03-01,灶王传,上映36天,346.2万,23.37万,<0.1%,82,<0.1%,66.4,43.8%
2025-03-01,雄狮少年2,上映78天,8260.8万,19.29万,<0.1%,425,0.1%,11.6,11.7%
2025-03-01,厨房,上映2天,30.8万,10.51万,<0.1%,833,0.2%,3.0,3.5%
2025-03-01,误杀3,上映64天,9.32亿,8.52万,<0.1%,349,<0.1%,5.9,6.6%
2025-03-01,破·地狱,上映78天,2.10亿,3.23万,<0.1%,115,<0.1%,6.8,8.6%
2025-03-01,小小的我,上映65天,7.65亿,2.02万,<0.1%,24,<0.1%,23.6,25.6%
2025-03-01,“骗骗”喜欢你,上映61天,4.45亿,1.99万,<0.1%,166,<0.1%,3.9,6.0%
2025-03-01,去唱卡拉OK吧！,上映44天,423.8万,1.47万,<0.1%,33,<0.1%,12.0,16.0%
2025-03-01,蛟龙行动,上映32天,3.89亿,1.20万,<0.1%,12,<0.1%,26.6,44.0%
2025-03-01,寻秘自然：时间的形状,,27.2万,0.98万,<0.1%,3,<0.1%,131.3,79.6%
2025-03-01,阿爸的刀,上映51天,3.2万,0.87万,<0.1%,2,<0.1%,61.5,54.8%
2025-03-01,苍山,点映,12.5万,0.75万,<0.1%,4,<0.1%,65.0,51.2%
2025-03-01,刺猬索尼克3,上映51天,4413.5万,0.57万,<0.1%,50,<0.1%,3.1,3.6%
