日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2025-04-02,哪吒之魔童闹海,上映64天,150.85亿,418.61万,30.6%,95862,27.9%,1.0,0.6%
2025-04-02,制暴：无限杀机,上映6天,3312.5万,275.74万,20.1%,53808,15.7%,1.3,1.0%
2025-04-02,怒水西流,上映12天,4497.3万,167.51万,12.2%,47367,13.8%,1.1,1.0%
2025-04-02,唐探1900,上映64天,35.67亿,135.50万,9.9%,29065,8.4%,1.1,1.0%
2025-04-02,不说话的爱,点映,455.9万,73.26万,5.3%,3422,0.9%,4.8,3.9%
2025-04-02,倩女幽魂,,2114.6万,53.76万,3.9%,18125,5.2%,0.8,0.7%
2025-04-02,我会好好的,上映12天,2431.3万,39.97万,2.9%,22991,6.7%,0.5,0.5%
2025-04-02,天堂旅行团,上映26天,6538.2万,25.45万,1.8%,15216,4.4%,0.5,0.5%
2025-04-02,还有明天,上映26天,4240.0万,23.81万,1.7%,6386,1.8%,0.9,0.9%
2025-04-02,特别的你,上映首日,48.9万,22.34万,1.6%,197,<0.1%,48.0,66.0%
2025-04-02,疾速追杀4,上映20天,4416.5万,22.20万,1.6%,8042,2.3%,0.7,0.5%
2025-04-02,猫猫的奇幻漂流,上映34天,2555.0万,11.85万,0.8%,2724,0.7%,1.0,1.0%
2025-04-02,援藏日记,上映14天,178.2万,11.32万,0.8%,8262,2.4%,0.3,0.3%
2025-04-02,射雕英雄传：侠之大者,上映64天,6.78亿,10.23万,0.7%,2200,0.6%,1.1,1.0%
2025-04-02,打铁花行动,上映24天,125.2万,6.20万,0.4%,43,<0.1%,38.0,26.0%
2025-04-02,熊出没·重启未来,上映64天,8.03亿,6.01万,0.4%,3634,1.0%,0.4,0.4%
2025-04-02,白雪公主,上映13天,904.3万,5.86万,0.4%,4202,1.2%,0.3,0.3%
2025-04-02,夜半凶宅,上映20天,313.1万,5.76万,0.4%,2632,0.7%,0.7,0.7%
2025-04-02,追幸福的人,上映9天,41.0万,5.43万,0.3%,1267,0.3%,1.2,1.3%
2025-04-02,折翼的天使,上映6天,19.3万,4.92万,0.3%,37,<0.1%,35.4,26.9%
2025-04-02,您的声音,上映44天,7688.0万,4.37万,0.3%,124,<0.1%,8.6,9.8%
2025-04-02,我的世界大电影,点映,17.1万,3.64万,0.2%,5,<0.1%,81.8,100.0%
2025-04-02,真爱营业,上映19天,1000.5万,3.01万,0.2%,2277,0.6%,0.4,0.4%
2025-04-02,编号17,上映27天,1612.2万,2.97万,0.2%,1003,0.2%,0.6,0.6%
2025-04-02,诡才之道,上映40天,4016.8万,2.61万,0.1%,1051,0.3%,0.7,0.7%
2025-04-02,花样年华,上映48天,6142.2万,2.37万,0.1%,595,0.1%,0.9,1.0%
2025-04-02,周末狂飙,上映6天,31.5万,2.22万,0.1%,2562,0.7%,0.2,0.2%
2025-04-02,海绵宝宝：皮老板大电影,上映26天,1162.5万,2.22万,0.1%,2364,0.6%,0.3,0.3%
2025-04-02,音乐课,,41.4万,2.21万,0.1%,5,<0.1%,147.6,100.0%
2025-04-02,多幸运遇见你,上映27天,1923.9万,2.15万,0.1%,1742,0.5%,0.3,0.4%
2025-04-02,潮,上映23天,89.0万,2.11万,0.1%,121,<0.1%,5.2,6.1%
2025-04-02,谯国夫人,,1506.7万,1.99万,0.1%,3,<0.1%,190.0,100.0%
2025-04-02,午时三刻,点映,1.3万,1.36万,<0.1%,2,<0.1%,170.0,73.6%
2025-04-02,攀枝花红了,上映8天,3.0万,1.24万,<0.1%,19,<0.1%,17.7,23.8%
2025-04-02,想飞的女孩,上映26天,1694.8万,1.08万,<0.1%,1240,0.3%,0.2,0.2%
2025-04-02,单声,,215.0万,0.91万,<0.1%,10,<0.1%,45.9,76.4%
2025-04-02,平原上的火焰,上映26天,1894.3万,0.83万,<0.1%,1760,0.5%,0.1,0.2%
2025-04-02,浴血困牛山,,64.9万,0.73万,<0.1%,9,<0.1%,22.7,50.8%
2025-04-02,再见，也许不再见,上映5天,14.7万,0.44万,<0.1%,438,0.1%,0.3,0.3%
2025-04-02,东四十条,点映,13.1万,0.39万,<0.1%,2,<0.1%,65.0,56.5%
2025-04-02,戈壁行者,,1.0万,0.35万,<0.1%,1,<0.1%,131.0,90.2%
2025-04-02,大突围,,1285.8万,0.32万,<0.1%,2,<0.1%,40.5,28.5%
2025-04-02,美国队长4,上映48天,1.04亿,0.30万,<0.1%,190,<0.1%,0.4,0.3%
2025-04-02,非标准恋爱,上映20天,178.6万,0.26万,<0.1%,432,0.1%,0.2,0.2%
2025-04-02,完美的日子,,331.9万,0.20万,<0.1%,18,<0.1%,2.7,3.5%
2025-04-02,你的颜色,上映41天,1729.7万,0.16万,<0.1%,140,<0.1%,0.3,0.4%
2025-04-02,里斯本丸沉没,,4738.8万,0.15万,<0.1%,2,<0.1%,26.5,30.8%
2025-04-02,久别·重逢,上映19天,105.1万,0.15万,<0.1%,200,<0.1%,0.2,0.3%
2025-04-02,插翅难飞,上映27天,127.8万,0.14万,<0.1%,180,<0.1%,0.2,0.2%
2025-04-02,去唱卡拉OK吧！,上映76天,440.9万,0.11万,<0.1%,16,<0.1%,1.8,2.1%
2025-04-02,孤军,,3218.3万,0.11万,<0.1%,1,<0.1%,45.0,--
2025-04-02,北极荒原,展映,199.2万,0.09万,<0.1%,1,<0.1%,23.0,7.3%
2025-04-02,康熙与路易十四,,264.6万,0.09万,<0.1%,4,<0.1%,5.8,4.3%
2025-04-02,我，就是风!,,1326.5万,0.08万,<0.1%,2,<0.1%,20.0,33.3%
2025-04-02,左滩·芳菲年华,上映16天,1.6万,0.07万,<0.1%,5,<0.1%,6.0,11.4%
2025-04-02,椰林深处,,27.4万,0.06万,<0.1%,1,<0.1%,26.0,--
2025-04-02,边海,上映48天,71.5万,0.05万,<0.1%,12,<0.1%,1.7,1.5%
2025-04-02,武替道,上映20天,8.4万,0.04万,<0.1%,29,<0.1%,0.4,0.6%
2025-04-02,阴阳师0,上映34天,277.7万,0.04万,<0.1%,20,<0.1%,0.6,0.5%
2025-04-02,远方的山,上映34天,2210,0.03万,<0.1%,1,<0.1%,12.0,--
2025-04-02,苍山,上映30天,67.2万,0.03万,<0.1%,31,<0.1%,0.2,0.4%
2025-04-02,小小的我,上映97天,7.65亿,0.02万,<0.1%,13,<0.1%,0.4,0.4%
2025-04-02,阿爸的刀,上映83天,3.9万,0.01万,<0.1%,1,<0.1%,5.0,6.0%
2025-04-02,党的女儿,,6.6万,0.01万,<0.1%,1,<0.1%,17.0,--
2025-04-02,封神第二部：战火西岐,上映64天,12.25亿,0.01万,<0.1%,145,<0.1%,<0.1,0.0%
2025-04-02,超级的我,,1234.8万,0.01万,<0.1%,8,<0.1%,0.6,--
2025-04-02,加拉帕戈斯：自然的仙境,展映,102.8万,0.01万,<0.1%,1,<0.1%,3.0,2.9%
2025-04-02,一生交给党,,346.3万,0.01万,<0.1%,1,<0.1%,7.0,4.4%
2025-04-02,好东西,,7.21亿,0.01万,<0.1%,4,<0.1%,1.3,6.0%
2025-04-02,碟仙玩偶,上映83天,376.4万,0.01万,<0.1%,16,<0.1%,0.3,0.2%
2025-04-02,不完美逃脱,零点场,3686,0.00万,<0.1%,1,<0.1%,2.0,2.5%
2025-04-02,三大队,,7.05亿,0.00万,<0.1%,1,<0.1%,2.0,--
2025-04-02,致命抉择,上映34天,182.8万,0.00万,<0.1%,50,<0.1%,<0.1,0.0%
2025-04-02,倩女幽魂,,1.40亿,0.00万,<0.1%,6,<0.1%,0.3,--
2025-04-02,谁是大英雄,上映19天,7830,0.00万,<0.1%,7,<0.1%,0.3,1.4%
2025-04-02,歪打正好,上映20天,1.2万,0.00万,<0.1%,12,<0.1%,0.2,0.4%
2025-04-02,灶王传,上映68天,1043.8万,0.00万,<0.1%,6,<0.1%,0.2,0.1%
2025-04-02,倩女幽魂：人间情,展映,1165,0.00万,<0.1%,9,<0.1%,0.1,--
2025-04-02,天龙押运,,51.8万,0.00万,<0.1%,2,<0.1%,0.5,0.5%
2025-04-02,潜艇总动员：环游地球80天,,5263.0万,0万,<0.1%,6,<0.1%,0.0,5.5%
2025-04-02,阳光照耀青春里,点映,10.5万,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,初步举证,上映34天,3538.3万,0万,<0.1%,6,<0.1%,0.0,1.1%
2025-04-02,过春天,,1023.4万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,目中无人：以眼还眼,展映,1.6万,0万,<0.1%,5,<0.1%,0.0,--
2025-04-02,直播惊魂夜,上映93天,82.2万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,多想和你再见一面,,252.7万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,火锅艺术家,上映90天,5910.3万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,海绵宝宝：拯救比奇堡,,3235.0万,0万,<0.1%,5,<0.1%,0.0,--
2025-04-02,再见，在也不见,,1145.9万,0万,<0.1%,2,<0.1%,0.0,--
2025-04-02,蛟龙行动,上映64天,3.90亿,0万,<0.1%,2,<0.1%,0.0,--
2025-04-02,爱你很久很久,,2002.3万,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,热烈,,9.13亿,0万,<0.1%,2,<0.1%,0.0,--
2025-04-02,冰雪奇缘2,,8.60亿,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,误杀3,上映96天,9.33亿,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,下一个台风,展映,8.0万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,快乐的童年时光,上映16天,2298,0万,<0.1%,2,<0.1%,0.0,--
2025-04-02,雅丹卫士,,展映,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,戏,,100.0万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,速度与激情7,,24.23亿,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,蓦然回首,,5389.3万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-02,出走的决心,,1.24亿,0万,<0.1%,3,<0.1%,0.0,--
2025-04-02,天马星空,上映40天,3.5万,0万,<0.1%,2,<0.1%,0.0,--
2025-04-02,厨房,上映34天,68.0万,0万,<0.1%,1,<0.1%,0.0,--
2025-04-03,不说话的爱,上映首日,1853.6万,1397.72万,38.6%,58971,16.2%,5.5,4.4%
2025-04-03,哪吒之魔童闹海,上映65天,150.94亿,882.58万,24.4%,91768,25.2%,2.2,1.5%
2025-04-03,热烈,,9.17亿,378.95万,10.4%,9817,2.7%,8.8,8.6%
2025-04-03,制暴：无限杀机,上映7天,3591.8万,279.33万,7.7%,45523,12.5%,1.6,1.3%
2025-04-03,怒水西流,上映13天,4686.5万,189.24万,5.2%,42185,11.6%,1.4,1.3%
2025-04-03,唐探1900,上映65天,35.69亿,179.42万,4.9%,26763,7.3%,1.6,1.5%
2025-04-03,倩女幽魂,,2167.4万,52.80万,1.4%,14329,3.9%,1.0,0.9%
2025-04-03,我会好好的,上映13天,2463.9万,32.56万,0.9%,17879,4.9%,0.5,0.5%
2025-04-03,还有明天,上映27天,4268.6万,28.60万,0.7%,5398,1.4%,1.3,1.3%
2025-04-03,天堂旅行团,上映27天,6565.0万,26.77万,0.7%,12144,3.3%,0.7,0.6%
2025-04-03,疾速追杀4,上映21天,4442.4万,25.93万,0.7%,6495,1.7%,0.9,0.8%
2025-04-03,猫猫的奇幻漂流,上映35天,2573.4万,18.46万,0.5%,2644,0.7%,1.7,1.6%
