日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-08-01,抓娃娃,上映17天,24.71亿,5020.69万,47.5%,131202,32.8%,9.3,6.5%
2024-08-01,死侍与金刚狼,上映7天,2.58亿,1737.81万,16.4%,72625,18.1%,5.6,3.9%
2024-08-01,默杀,上映30天,12.73亿,1008.19万,9.5%,43580,10.9%,5.7,5.7%
2024-08-01,解密,点映,7636.9万,943.86万,8.9%,26499,6.6%,8.6,7.5%
2024-08-01,神偷奶爸4,上映21天,3.10亿,524.26万,4.9%,23644,5.9%,5.7,5.6%
2024-08-01,从21世纪安全撤离,点映,3646.9万,332.44万,3.1%,13254,3.3%,6.1,6.3%
2024-08-01,异人之下,上映7天,1.09亿,315.15万,2.9%,33656,8.4%,2.2,2.1%
2024-08-01,你的名字。,,7.01亿,169.76万,1.6%,11848,2.9%,3.8,3.8%
2024-08-01,喜羊羊与灰太狼之守护,上映14天,6710.4万,153.00万,1.4%,13355,3.3%,3.2,3.4%
2024-08-01,蓝色禁区：凪,上映7天,3052.7万,76.54万,0.7%,14206,3.5%,1.4,1.4%
2024-08-01,一生交给党,重映首日,70.9万,70.22万,0.6%,1376,0.3%,16.3,22.7%
2024-08-01,头脑特工队2,上映42天,3.34亿,54.06万,0.5%,3249,0.8%,4.2,4.3%
2024-08-01,落凡尘,上映21天,3542.5万,36.40万,0.3%,2786,0.6%,3.6,3.9%
2024-08-01,龙卷风,上映14天,1956.2万,12.37万,0.1%,1177,0.2%,2.5,2.8%
2024-08-01,谯国夫人,上映28天,896.2万,11.93万,0.1%,99,<0.1%,30.3,28.2%
2024-08-01,地球脉动：极境生存,上映6天,176.7万,11.91万,0.1%,1149,0.2%,2.6,2.4%
2024-08-01,云边有个小卖部,上映41天,4.98亿,8.87万,<0.1%,853,0.2%,2.7,3.1%
2024-08-01,信仰无敌,上映18天,36.7万,7.29万,<0.1%,62,<0.1%,46.4,64.8%
2024-08-01,八十天环游地球,上映6天,132.0万,5.32万,<0.1%,1029,0.2%,1.4,1.3%
2024-08-01,唤醒者,上映42天,469.2万,4.52万,<0.1%,42,<0.1%,30.1,33.1%
2024-08-01,我，就是风!,上映66天,867.7万,4.07万,<0.1%,32,<0.1%,37.7,49.8%
2024-08-01,传说,上映23天,7985.9万,4.01万,<0.1%,562,0.1%,1.8,2.4%
2024-08-01,苍穹,展映,2512.3万,3.98万,<0.1%,6,<0.1%,166.0,--
2024-08-01,排球少年!! 垃圾场决战,上映48天,1.28亿,3.62万,<0.1%,352,<0.1%,2.9,2.8%
2024-08-01,逆行人生,点映,3.4万,3.46万,<0.1%,1,<0.1%,577.0,--
2024-08-01,寂静之地：入侵日,上映35天,1.29亿,3.20万,<0.1%,496,0.1%,1.8,1.9%
2024-08-01,富贵东西,上映79天,150.5万,3.13万,<0.1%,10,<0.1%,86.8,--
2024-08-01,出发,上映32天,508.6万,3.10万,<0.1%,39,<0.1%,25.2,35.0%
2024-08-01,泳者之心,上映63天,955.6万,2.97万,<0.1%,116,<0.1%,5.9,6.0%
2024-08-01,海关战线,上映35天,1.29亿,2.35万,<0.1%,103,<0.1%,5.7,5.1%
2024-08-01,永不消逝的电波（舞台纪录电影·舞剧）,上映45天,196.2万,2.30万,<0.1%,15,<0.1%,37.6,36.2%
2024-08-01,跳水吧，少年郎,上映23天,76.3万,1.91万,<0.1%,6,<0.1%,100.7,60.6%
2024-08-01,钱塘风云,上映首日,1.7万,1.78万,<0.1%,22,<0.1%,16.8,2.3%
2024-08-01,北极荒原,展映,120.9万,1.76万,<0.1%,2,<0.1%,205.0,64.1%
2024-08-01,扫黑·决不放弃,上映55天,1.92亿,1.54万,<0.1%,25,<0.1%,14.6,9.2%
2024-08-01,开国将帅授衔1955,,685.2万,1.39万,<0.1%,19,<0.1%,18.5,--
2024-08-01,青年邓颖超,上映64天,21.7万,1.22万,<0.1%,8,<0.1%,50.5,5.6%
2024-08-01,加拉帕戈斯：自然的仙境,展映,39.2万,1.16万,<0.1%,2,<0.1%,136.0,41.3%
2024-08-01,亲密,上映7天,34.1万,1.13万,<0.1%,54,<0.1%,5.8,0.2%
2024-08-01,二郎神之深海蛟龙,上映20天,405.5万,1.08万,<0.1%,269,<0.1%,1.2,0.9%
2024-08-01,我们永远是我们,点映,1.2万,0.98万,<0.1%,1,<0.1%,196.0,--
2024-08-01,父亲在远方,上映74天,61.5万,0.93万,<0.1%,10,<0.1%,26.2,5.5%
2024-08-01,欢迎来到我身边,上映28天,4545.9万,0.92万,<0.1%,146,<0.1%,1.6,2.0%
2024-08-01,伞少女,上映27天,1896.8万,0.92万,<0.1%,196,<0.1%,1.2,1.4%
2024-08-01,惊心妒怨,上映42天,113.1万,0.77万,<0.1%,124,<0.1%,2.0,2.0%
2024-08-01,康熙与路易十四,上映71天,185.8万,0.70万,<0.1%,5,<0.1%,35.6,11.4%
2024-08-01,机器人之梦,上映55天,1160.9万,0.68万,<0.1%,64,<0.1%,2.4,3.3%
2024-08-01,黄埔军人,,35.8万,0.67万,<0.1%,7,<0.1%,21.7,11.3%
2024-08-01,陌路惊魂,上映49天,143.9万,0.63万,<0.1%,88,<0.1%,2.2,2.1%
2024-08-01,绝地重生,,1110.6万,0.63万,<0.1%,11,<0.1%,17.7,4.8%
2024-08-01,金腰带,点映,31.7万,0.54万,<0.1%,2,<0.1%,70.0,98.4%
2024-08-01,超级的我,,1200.9万,0.53万,<0.1%,8,<0.1%,22.8,--
2024-08-01,来日皆方长,上映48天,32.0万,0.52万,<0.1%,4,<0.1%,26.3,--
2024-08-01,寻秘自然：无形之力,上映12天,66.8万,0.37万,<0.1%,63,<0.1%,1.8,0.8%
2024-08-01,一和多,点映,3500,0.35万,<0.1%,1,<0.1%,100.0,95.3%
2024-08-01,间谍过家家 代号：白,上映94天,2.93亿,0.33万,<0.1%,27,<0.1%,3.4,4.3%
2024-08-01,小孩不笨3,点映,3000,0.30万,<0.1%,1,<0.1%,100.0,--
2024-08-01,阿莫阿依,,1289.5万,0.23万,<0.1%,3,<0.1%,31.7,3.1%
2024-08-01,维和防暴队,上映93天,5.11亿,0.21万,<0.1%,9,<0.1%,6.7,0.8%
2024-08-01,单声,,160.4万,0.20万,<0.1%,4,<0.1%,20.0,--
2024-08-01,两情若是久长时,上映6天,3.7万,0.18万,<0.1%,36,<0.1%,1.6,0.8%
2024-08-01,长征一家人,上映43天,12.0万,0.18万,<0.1%,2,<0.1%,30.0,40.8%
2024-08-01,堡垒,,249.7万,0.17万,<0.1%,1,<0.1%,68.0,--
2024-08-01,最后的心事,,1.5万,0.16万,<0.1%,1,<0.1%,51.0,37.1%
2024-08-01,谁持彩练当空舞,,606.1万,0.15万,<0.1%,2,<0.1%,25.5,25.5%
2024-08-01,查拳风云,上映21天,9864,0.15万,<0.1%,10,<0.1%,5.8,6.8%
2024-08-01,2024年巴黎奥运会赛事影院直播活动（开幕式）,上映6天,137.1万,0.14万,<0.1%,77,<0.1%,0.4,--
2024-08-01,倚剑钟情,上映首日,1325,0.13万,<0.1%,2,<0.1%,26.5,17.4%
2024-08-01,寻秘自然：地球往事,上映19天,134.6万,0.12万,<0.1%,28,<0.1%,1.2,1.1%
2024-08-01,我要当老师,,1215.5万,0.12万,<0.1%,1,<0.1%,40.0,--
2024-08-01,来福大酒店,上映35天,5644.1万,0.11万,<0.1%,14,<0.1%,2.0,--
2024-08-01,疯狂的麦克斯：狂暴女神,上映56天,6069.7万,0.10万,<0.1%,14,<0.1%,1.9,4.6%
2024-08-01,哈尔的移动城堡,上映94天,1.67亿,0.10万,<0.1%,18,<0.1%,1.4,1.5%
2024-08-01,断线之后,上映28天,5.0万,0.09万,<0.1%,3,<0.1%,12.0,--
2024-08-01,野百合女孩,展映,14.8万,0.08万,<0.1%,2,<0.1%,13.0,10.3%
2024-08-01,我和我的父辈,,14.77亿,0.08万,<0.1%,2,<0.1%,16.0,--
2024-08-01,生死坚守,,91.9万,0.07万,<0.1%,3,<0.1%,11.7,--
2024-08-01,江海儿女,上映35天,32.5万,0.06万,<0.1%,4,<0.1%,5.0,--
2024-08-01,中国合伙人,,5.40亿,0.05万,<0.1%,1,<0.1%,50.0,--
2024-08-01,李夏·在路上,,84.1万,0.04万,<0.1%,1,<0.1%,16.0,--
2024-08-01,倒仓,点映,180.1万,0.03万,<0.1%,28,<0.1%,0.4,1.9%
2024-08-01,走走停停,上映55天,1.02亿,0.03万,<0.1%,12,<0.1%,0.6,1.0%
2024-08-01,少年的你,,15.58亿,0.02万,<0.1%,1,<0.1%,28.0,--
2024-08-01,沙漏,上映42天,2931.3万,0.02万,<0.1%,7,<0.1%,1.0,3.9%
2024-08-01,再会长江,上映70天,1024.8万,0.02万,<0.1%,3,<0.1%,2.3,4.7%
2024-08-01,巧克力和酥油花,上映24天,24.3万,0.02万,<0.1%,19,<0.1%,0.2,0.0%
2024-08-01,泪光中的妈妈,上映83天,121.6万,0.01万,<0.1%,6,<0.1%,1.2,1.7%
2024-08-01,智取威虎山,,8.83亿,0.01万,<0.1%,2,<0.1%,9.5,--
2024-08-01,万里归途,,15.93亿,0.01万,<0.1%,1,<0.1%,5.0,5.0%
2024-08-01,谈判专家,上映55天,1.56亿,0.01万,<0.1%,4,<0.1%,0.8,1.1%
2024-08-01,一千零一夜之拯救黄金城,上映20天,45.0万,0.00万,<0.1%,20,<0.1%,0.2,0.2%
2024-08-01,你是我的英雄,上映74天,1102.0万,0.00万,<0.1%,24,<0.1%,<0.1,0.0%
2024-08-01,猪猪侠大电影·星际行动,上映93天,5474.4万,0.00万,<0.1%,8,<0.1%,0.3,0.9%
2024-08-01,白蛇：缘起,,4.69亿,0.00万,<0.1%,2,<0.1%,0.5,0.6%
2024-08-01,铃芽之旅,,8.07亿,0.00万,<0.1%,4,<0.1%,0.3,--
2024-08-01,朱同在三年级丢失了超能力,上映69天,1515.7万,0.00万,<0.1%,1,<0.1%,1.0,0.6%
2024-08-01,红楼梦之金玉良缘,点映,44.4万,0.00万,<0.1%,1,<0.1%,1.0,--
2024-08-01,魔幻奇缘之宝石公主,,812.0万,0.00万,<0.1%,6,<0.1%,0.2,0.1%
2024-08-01,笨鸟大冒险,,636.2万,0.00万,<0.1%,2,<0.1%,8.5,15.6%
2024-08-01,魔法鼠乐园,,422.9万,0.00万,<0.1%,3,<0.1%,0.3,--
2024-08-01,疯狂大营救,,90.6万,0.00万,<0.1%,1,<0.1%,0.0,--
2024-08-01,你好，李焕英,,54.13亿,0万,<0.1%,1,<0.1%,0.0,--
2024-08-01,潜艇总动员：地心游记,,2527.0万,0万,<0.1%,2,<0.1%,0.0,--
