日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-11-01,毒液：最后一舞,上映10天,4.22亿,2259.89万,31.5%,91525,23.8%,6.0,3.8%
2024-11-01,焚城,上映首日,3138.7万,1489.99万,20.8%,81188,21.1%,4.6,3.7%
2024-11-01,乔妍的心事,上映7天,1.12亿,645.80万,9.0%,47803,12.4%,3.5,3.2%
2024-11-01,哈利·波特与火焰杯,,1.00亿,626.04万,8.7%,14833,3.8%,10.4,6.7%
2024-11-01,鸳鸯楼·惊魂,上映2天,1113.6万,539.57万,7.5%,23499,6.1%,7.0,7.4%
2024-11-01,爱你很久很久,上映首日,489.5万,392.66万,5.4%,18490,4.8%,5.8,6.0%
2024-11-01,志愿军：存亡之战,上映33天,11.66亿,381.09万,5.3%,21151,5.5%,4.5,4.5%
2024-11-01,这个杀手不太冷,上映首日,309.8万,282.79万,3.9%,24299,6.3%,3.1,2.9%
2024-11-01,蓦然回首,上映7天,3670.5万,165.93万,2.3%,13807,3.6%,3.2,3.0%
2024-11-01,老枪,上映首日,94.2万,85.31万,1.1%,14352,3.7%,1.6,1.7%
2024-11-01,哈利·波特与阿兹卡班的囚徒,,7514.1万,61.91万,0.8%,2283,0.5%,6.7,5.8%
2024-11-01,熊猫计划,上映32天,2.96亿,37.51万,0.5%,7120,1.8%,1.6,1.8%
2024-11-01,危机航线,上映33天,2.99亿,22.82万,0.3%,4538,1.1%,1.3,1.2%
2024-11-01,一竞到底,上映首日,18.7万,17.24万,0.2%,1814,0.4%,2.8,3.1%
2024-11-01,海绵宝宝：拯救比奇堡,上映15天,2009.1万,16.16万,0.2%,3901,1.0%,1.2,1.3%
2024-11-01,浴火之路,上映32天,4.61亿,11.38万,0.1%,3025,0.7%,1.0,1.0%
2024-11-01,小丑2：双重妄想,上映17天,5332.0万,9.87万,0.1%,1459,0.3%,1.6,1.8%
2024-11-01,田园时代,上映21天,255.3万,8.17万,0.1%,34,<0.1%,75.8,34.7%
2024-11-01,哈利·波特与密室,,9568.9万,7.44万,0.1%,495,0.1%,3.8,3.7%
2024-11-01,只此青绿,上映32天,5028.1万,6.75万,<0.1%,945,0.2%,1.7,1.6%
2024-11-01,哈利·波特与魔法石,,3.22亿,5.93万,<0.1%,401,0.1%,3.9,3.9%
2024-11-01,里斯本丸沉没,上映57天,4432.6万,5.85万,<0.1%,188,<0.1%,7.3,6.4%
2024-11-01,与你相遇的日子,上映36天,814.3万,5.46万,<0.1%,30,<0.1%,49.7,41.6%
2024-11-01,变形金刚：起源,上映36天,1.49亿,4.52万,<0.1%,856,0.2%,1.4,1.5%
2024-11-01,大突围,点映,27.2万,4.37万,<0.1%,84,<0.1%,14.9,5.1%
2024-11-01,出走的决心,上映48天,1.23亿,2.43万,<0.1%,451,0.1%,1.6,1.9%
2024-11-01,苍穹,展映,2776.4万,2.18万,<0.1%,6,<0.1%,91.2,--
2024-11-01,孤军,,3203.3万,1.94万,<0.1%,19,<0.1%,40.8,10.5%
2024-11-01,门前宝地,上映43天,169.3万,1.77万,<0.1%,7,<0.1%,69.7,28.5%
2024-11-01,749局,上映32天,3.75亿,1.71万,<0.1%,624,0.1%,0.8,0.9%
2024-11-01,青年邓颖超,,138.1万,1.63万,<0.1%,19,<0.1%,42.9,13.6%
2024-11-01,开国将帅授衔1955,,834.3万,1.61万,<0.1%,22,<0.1%,20.5,--
2024-11-01,断线之后,,17.6万,1.57万,<0.1%,12,<0.1%,61.6,--
2024-11-01,爆款好人,上映32天,2706.7万,1.52万,<0.1%,210,<0.1%,2.0,1.6%
2024-11-01,野孩子,上映50天,2.41亿,1.35万,<0.1%,26,<0.1%,14.8,8.2%
2024-11-01,一生交给党,,330.8万,1.33万,<0.1%,16,<0.1%,32.5,2.7%
2024-11-01,荒野机器人,上映43天,5097.4万,1.29万,<0.1%,195,<0.1%,1.7,1.5%
2024-11-01,密室逃脱,上映15天,412.8万,1.21万,<0.1%,894,0.2%,0.4,0.4%
2024-11-01,富贵东西,,344.3万,1.13万,<0.1%,8,<0.1%,28.4,--
2024-11-01,祝你幸福！,上映48天,6000.0万,1.00万,<0.1%,11,<0.1%,18.2,13.2%
2024-11-01,逆行人生,上映85天,3.59亿,0.97万,<0.1%,25,<0.1%,9.4,2.0%
2024-11-01,凤鸣飞天,上映3天,5.7万,0.93万,<0.1%,62,<0.1%,5.0,4.5%
2024-11-01,解密,上映91天,3.34亿,0.90万,<0.1%,16,<0.1%,13.9,8.5%
2024-11-01,冬天没有童话,,20.3万,0.90万,<0.1%,2,<0.1%,150.0,--
2024-11-01,你是我的英雄,,1105.9万,0.84万,<0.1%,15,<0.1%,18.9,--
2024-11-01,反腐枪声,,10.8万,0.78万,<0.1%,5,<0.1%,72.8,--
2024-11-01,巡察,,12.4万,0.78万,<0.1%,5,<0.1%,72.8,41.2%
2024-11-01,阿莫阿依,,1327.9万,0.75万,<0.1%,8,<0.1%,37.8,16.1%
2024-11-01,车库,上映43天,67.7万,0.74万,<0.1%,32,<0.1%,6.7,0.8%
2024-11-01,女人世界,点映,6.3万,0.68万,<0.1%,2,<0.1%,106.5,67.0%
2024-11-01,开国宴风云,上映43天,46.8万,0.68万,<0.1%,10,<0.1%,23.5,32.7%
2024-11-01,陌上花开,上映8天,7.4万,0.59万,<0.1%,43,<0.1%,4.9,5.2%
2024-11-01,新大头儿子和小头爸爸6：迷你大冒险,上映32天,2765.5万,0.57万,<0.1%,277,<0.1%,0.7,0.6%
2024-11-01,云上的云,上映15天,1078.5万,0.55万,<0.1%,113,<0.1%,1.7,1.5%
2024-11-01,音乐课,上映18天,25.3万,0.48万,<0.1%,11,<0.1%,16.5,6.8%
2024-11-01,单声,,179.9万,0.47万,<0.1%,8,<0.1%,29.8,83.3%
2024-11-01,草原的夏天,,10.0万,0.45万,<0.1%,1,<0.1%,150.0,--
2024-11-01,非洲：塞伦盖蒂国家公园,,10.8万,0.45万,<0.1%,1,<0.1%,150.0,--
2024-11-01,熊猫盼盼,展映,48.4万,0.45万,<0.1%,1,<0.1%,150.0,--
2024-11-01,康熙与路易十四,,209.5万,0.42万,<0.1%,3,<0.1%,34.0,5.1%
2024-11-01,名侦探柯南：百万美元的五棱星,上映78天,2.86亿,0.41万,<0.1%,82,<0.1%,1.4,1.8%
2024-11-01,申纪兰,,482.7万,0.40万,<0.1%,13,<0.1%,12.3,--
2024-11-01,唤醒者,,518.1万,0.30万,<0.1%,2,<0.1%,52.0,--
2024-11-01,生死坚守,,93.9万,0.30万,<0.1%,7,<0.1%,21.6,62.1%
2024-11-01,踢出个未来,上映35天,124.8万,0.29万,<0.1%,2,<0.1%,50.5,74.2%
2024-11-01,我要当老师,,1303.5万,0.29万,<0.1%,1,<0.1%,97.0,0.8%
2024-11-01,周立波回清溪,,1055.2万,0.28万,<0.1%,1,<0.1%,114.0,--
2024-11-01,伟大征程,上映2天,8.4万,0.27万,<0.1%,533,0.1%,0.2,0.1%
2024-11-01,俺的傻娘,上映18天,2.6万,0.25万,<0.1%,3,<0.1%,24.0,--
2024-11-01,我的爷爷,上映43天,252.9万,0.22万,<0.1%,3,<0.1%,24.7,--
2024-11-01,桃李无言,上映16天,29.9万,0.20万,<0.1%,1,<0.1%,80.0,--
2024-11-01,邓小平小道,,2741.4万,0.19万,<0.1%,1,<0.1%,57.0,19.2%
2024-11-01,范蠡献西施（戏曲 粤剧）,上映15天,5.1万,0.14万,<0.1%,6,<0.1%,9.3,11.7%
2024-11-01,绑架游戏,上映21天,1614.7万,0.13万,<0.1%,379,<0.1%,0.1,0.1%
2024-11-01,金色少年,上映60天,18.4万,0.13万,<0.1%,3,<0.1%,13.7,11.3%
2024-11-01,一山之隔,,203.7万,0.13万,<0.1%,10,<0.1%,5.2,--
2024-11-01,奇妙萌可大电影,上映48天,1082.4万,0.12万,<0.1%,61,<0.1%,0.6,0.6%
2024-11-01,一江清水,零点场,1090,0.10万,<0.1%,2,<0.1%,14.0,--
2024-11-01,加拉帕戈斯：自然的仙境,展映,78.2万,0.10万,<0.1%,1,<0.1%,25.0,7.3%
2024-11-01,江南：在爱开始的地方等你,上映48天,346.0万,0.10万,<0.1%,124,<0.1%,0.2,0.2%
2024-11-01,光之子,上映13天,11.1万,0.09万,<0.1%,29,<0.1%,0.9,2.0%
2024-11-01,清道夫,上映首日,2.4万,0.09万,<0.1%,100,<0.1%,0.3,0.2%
2024-11-01,荧屏奇遇,,10.1万,0.08万,<0.1%,1,<0.1%,27.0,--
2024-11-01,姥姥的外孙,上映71天,1.26亿,0.08万,<0.1%,14,<0.1%,1.6,2.1%
2024-11-01,开国大典,,1.7万,0.07万,<0.1%,6,<0.1%,4.0,11.1%
2024-11-01,816,上映14天,78.3万,0.07万,<0.1%,51,<0.1%,0.4,0.6%
2024-11-01,北极荒原,展映,168.1万,0.07万,<0.1%,1,<0.1%,16.0,4.7%
2024-11-01,盐湖计划,上映10天,5.8万,0.06万,<0.1%,58,<0.1%,0.5,0.5%
2024-11-01,白蛇：浮生,上映84天,4.25亿,0.05万,<0.1%,29,<0.1%,0.5,0.7%
2024-11-01,堡垒,,281.7万,0.03万,<0.1%,1,<0.1%,14.0,20.8%
2024-11-01,永不消逝的电波（舞台纪录电影·舞剧）,,218.5万,0.03万,<0.1%,3,<0.1%,4.3,1.1%
2024-11-01,幸福的模样,上映89天,37.1万,0.03万,<0.1%,1,<0.1%,9.0,--
2024-11-01,冲撞,上映8天,8.2万,0.03万,<0.1%,20,<0.1%,0.6,0.5%
2024-11-01,流浪地球2,,40.43亿,0.03万,<0.1%,13,<0.1%,0.8,1.5%
2024-11-01,加班惊魂,上映84天,455.3万,0.01万,<0.1%,8,<0.1%,0.6,0.9%
2024-11-01,朱同在三年级丢失了超能力,,1515.8万,0.01万,<0.1%,1,<0.1%,6.0,--
2024-11-01,魔幻奇缘之宝石公主,,813.8万,0.01万,<0.1%,1,<0.1%,5.0,10.2%
2024-11-01,大圣降妖,上映48天,215.5万,0.00万,<0.1%,5,<0.1%,0.4,0.1%
2024-11-01,重生,上映78天,4.64亿,0.00万,<0.1%,15,<0.1%,0.1,0.1%
2024-11-01,超级的我,,1223.2万,0.00万,<0.1%,8,<0.1%,0.3,--
2024-11-01,哆啦A梦：大雄的地球交响乐,,1.31亿,0.00万,<0.1%,1,<0.1%,2.0,2.5%
2024-11-01,流浪地球2：再次冒险,上映48天,54.3万,0.00万,<0.1%,3,<0.1%,0.3,--
2024-11-01,蛋宝大营救,上映56天,543.2万,0.00万,<0.1%,9,<0.1%,0.1,0.1%
2024-11-01,新龙门客栈（舞台纪录电影·越剧）,上映64天,610.5万,0.00万,<0.1%,1,<0.1%,1.0,0.7%
2024-11-01,忠爱无言2,,87.1万,0.00万,<0.1%,2,<0.1%,0.5,--
2024-11-01,坂本龙一：杰作,,494.2万,0.00万,<0.1%,1,<0.1%,0.0,--
2024-11-01,皮皮鲁和鲁西西之309暗室,,358.5万,0万,<0.1%,15,<0.1%,0.0,0.2%
2024-11-01,开国大典(上集),,93.9万,0万,<0.1%,2,<0.1%,0.0,--
2024-11-01,走走停停,,1.02亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,我的爸爸是国王,,1569.1万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,一代人师严修,上映53天,10.2万,0万,<0.1%,11,<0.1%,0.0,--
2024-11-01,爱情神话,,2.60亿,0万,<0.1%,4,<0.1%,0.0,0.3%
2024-11-01,阿里巴巴与神灯,,2223.5万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,寂静之地：入侵日,,1.29亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,大场面,上映48天,1245.2万,0万,<0.1%,3,<0.1%,0.0,--
2024-11-01,我，就是风!,,1220.2万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,悟青春,上映53天,3129,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,那个不为人知的故事,,点映,0万,<0.1%,4,<0.1%,0.0,--
2024-11-01,抓娃娃,,33.27亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,谷魂,,43.2万,0万,<0.1%,5,<0.1%,0.0,--
2024-11-01,森林飞侠,上映48天,40.3万,0万,<0.1%,3,<0.1%,0.0,--
2024-11-01,神偷奶爸4,,4.23亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,等儿的湿地,,1.3万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,这个杀手不太冷静,,26.27亿,0万,<0.1%,11,<0.1%,0.0,0.1%
2024-11-01,宇宙探索编辑部,,6722.4万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,航海王：红发歌姬,,1.85亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,流浪地球,,46.87亿,0万,<0.1%,2,<0.1%,0.0,--
2024-11-01,中国机长,,29.13亿,0万,<0.1%,2,<0.1%,0.0,--
2024-11-01,我们的岁月,,1022.3万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,脐带,,169.8万,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,钢铁意志,,1.03亿,0万,<0.1%,1,<0.1%,0.0,--
2024-11-01,头脑特工队2,,3.44亿,0万,<0.1%,1,<0.1%,0.0,--
