日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2025-02-01,哪吒之魔童闹海,上映4天,23.18亿,73156.38万,57.3%,183711,38.2%,77.4,53.6%
2025-02-01,唐探1900,上映4天,15.41亿,31972.45万,25.0%,129195,26.9%,48.8,39.8%
2025-02-01,封神第二部：战火西岐,上映4天,8.27亿,9009.02万,7.0%,62533,13.0%,28.0,27.6%
2025-02-01,熊出没·重启未来,上映4天,3.64亿,6230.99万,4.8%,43253,9.0%,29.7,29.3%
2025-02-01,射雕英雄传：侠之大者,上映4天,5.15亿,3926.17万,3.0%,31581,6.5%,26.5,26.8%
2025-02-01,蛟龙行动,上映4天,2.10亿,3127.09万,2.4%,28809,5.9%,20.8,25.3%
2025-02-01,地球脉动：极境生存,,469.6万,9.92万,<0.1%,19,<0.1%,148.1,--
2025-02-01,误杀3,上映36天,9.30亿,9.48万,<0.1%,292,<0.1%,7.6,8.6%
2025-02-01,异乡来客,上映44天,45.8万,6.24万,<0.1%,14,<0.1%,106.1,--
2025-02-01,雄狮少年2,上映50天,8044.6万,3.35万,<0.1%,34,<0.1%,22.0,24.4%
2025-02-01,名侦探柯南：迷宫的十字路口,上映37天,1.47亿,2.91万,<0.1%,94,<0.1%,8.1,10.9%
2025-02-01,“骗骗”喜欢你,上映33天,4.43亿,2.77万,<0.1%,138,<0.1%,5.4,6.3%
2025-02-01,狮子王：木法沙传奇,上映44天,1.22亿,2.14万,<0.1%,63,<0.1%,7.1,9.0%
2025-02-01,破·地狱,上映50天,2.10亿,1.83万,<0.1%,25,<0.1%,18.1,19.5%
2025-02-01,北极荒原,展映,194.2万,1.44万,<0.1%,1,<0.1%,335.0,100.0%
2025-02-01,刺猬索尼克3,上映23天,4391.4万,1.42万,<0.1%,54,<0.1%,6.9,7.3%
2025-02-01,加拉帕戈斯：自然的仙境,展映,97.9万,1.26万,<0.1%,1,<0.1%,293.0,88.8%
2025-02-01,天龙押运,上映44天,29.3万,1.03万,<0.1%,7,<0.1%,37.0,41.3%
2025-02-01,碟仙玩偶,上映23天,342.2万,0.96万,<0.1%,62,<0.1%,4.2,4.0%
2025-02-01,火锅艺术家,上映30天,5904.4万,0.95万,<0.1%,70,<0.1%,4.7,3.9%
2025-02-01,误判,上映37天,2.70亿,0.89万,<0.1%,25,<0.1%,7.6,8.4%
2025-02-01,小小的我,上映37天,7.65亿,0.70万,<0.1%,28,<0.1%,6.1,8.7%
2025-02-01,帕丁顿熊3：秘鲁大冒险,上映32天,4556.9万,0.69万,<0.1%,22,<0.1%,8.0,9.5%
2025-02-01,波提切利，佛罗伦萨和美第奇家族,上映51天,222.6万,0.65万,<0.1%,3,<0.1%,40.0,34.5%
2025-02-01,莫莉的冒险,上映15天,35.4万,0.60万,<0.1%,3,<0.1%,33.3,20.4%
2025-02-01,康熙与路易十四,,254.8万,0.52万,<0.1%,1,<0.1%,105.0,56.0%
2025-02-01,超级的我,,1230.3万,0.49万,<0.1%,8,<0.1%,16.4,--
2025-02-01,好东西,上映72天,7.21亿,0.47万,<0.1%,11,<0.1%,8.7,11.0%
2025-02-01,去唱卡拉OK吧！,上映16天,387.9万,0.44万,<0.1%,4,<0.1%,16.0,14.7%
2025-02-01,穿越时空的少女,上映22天,814.4万,0.44万,<0.1%,16,<0.1%,4.9,5.5%
2025-02-01,假爸爸,上映23天,4050.1万,0.37万,<0.1%,29,<0.1%,4.9,4.2%
2025-02-01,奇妙萌可大电影,,1116.8万,0.37万,<0.1%,6,<0.1%,16.0,35.9%
2025-02-01,直播惊魂夜,上映33天,79.2万,0.17万,<0.1%,7,<0.1%,7.0,8.6%
2025-02-01,窗前明月，咣！,上映33天,3975.6万,0.13万,<0.1%,11,<0.1%,3.3,2.9%
2025-02-01,凤鸣飞天,上映95天,31.4万,0.11万,<0.1%,1,<0.1%,32.0,28.5%
2025-02-01,皇后乐队蒙特利尔现场演唱会,上映58天,397.6万,0.07万,<0.1%,3,<0.1%,5.7,10.4%
2025-02-01,恶行之外,上映22天,1363.8万,0.06万,<0.1%,28,<0.1%,0.8,1.0%
2025-02-01,新龙门客栈（舞台纪录电影·越剧）,,611.6万,0.06万,<0.1%,1,<0.1%,13.0,10.0%
2025-02-01,阁楼,上映51天,87.6万,0.03万,<0.1%,1,<0.1%,9.0,7.9%
2025-02-01,寻秘自然：无形之力,,72.3万,0.03万,<0.1%,1,<0.1%,7.0,19.5%
2025-02-01,完美的日子,上映79天,312.2万,0.03万,<0.1%,1,<0.1%,2.0,16.6%
2025-02-01,爆裂鼓手,上映58天,355.6万,0.03万,<0.1%,2,<0.1%,2.5,4.0%
2025-02-01,狗的审判,上映16天,63.2万,0.02万,<0.1%,2,<0.1%,3.0,6.9%
2025-02-01,吉庆街火,上映4天,300,0.01万,<0.1%,1,<0.1%,5.0,5.8%
2025-02-01,美人鱼的夏天,上映72天,112.2万,0.01万,<0.1%,4,<0.1%,1.5,1.4%
2025-02-01,真爱找麻烦！,上映15天,454.3万,0.01万,<0.1%,7,<0.1%,0.4,0.9%
2025-02-01,小倩,上映58天,1284.4万,0.00万,<0.1%,1,<0.1%,1.0,0.9%
2025-02-01,灶王传,上映8天,27.4万,0.00万,<0.1%,3,<0.1%,0.3,0.2%
2025-02-01,巴铁女孩,,66.3万,0.00万,<0.1%,1,<0.1%,1.0,--
2025-02-01,小英雄雨来,上映23天,2.9万,0.00万,<0.1%,1,<0.1%,1.0,0.3%
2025-02-01,伟大征程,上映94天,1006.4万,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,远方的山,,点映,0万,<0.1%,3,<0.1%,0.0,--
2025-02-01,风起前的蒲公英,,8.1万,0万,<0.1%,4,<0.1%,0.0,--
2025-02-01,看不见的朋友,,72.9万,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,情满木兰,点映,2.1万,0万,<0.1%,14,<0.1%,0.0,--
2025-02-01,只此青绿,,5199.5万,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,毒液：最后一舞,,6.84亿,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,浴血困牛山,,55.4万,0万,<0.1%,15,<0.1%,0.0,--
2025-02-01,鸳鸯楼·惊魂,上映94天,1.30亿,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,阿爸的刀,上映23天,2.3万,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,蜡笔小新：我们的恐龙日记,上映71天,1.27亿,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,地上的云朵,,3747,0万,<0.1%,14,<0.1%,0.0,--
2025-02-01,大红包2：龙凤呈祥,上映23天,237.4万,0万,<0.1%,7,<0.1%,0.0,--
2025-02-01,海洋奇缘2,上映65天,1.11亿,0万,<0.1%,1,<0.1%,0.0,--
2025-02-01,消失的花季少女,上映23天,2408,0万,<0.1%,2,<0.1%,0.0,--
2025-02-02,哪吒之魔童闹海,上映5天,31.31亿,81277.31万,63.6%,206814,43.5%,76.9,52.7%
2025-02-02,唐探1900,上映5天,18.24亿,28282.58万,22.1%,122677,25.8%,45.9,38.9%
2025-02-02,封神第二部：战火西岐,上映5天,8.96亿,6899.93万,5.3%,50933,10.7%,26.7,27.9%
2025-02-02,熊出没·重启未来,上映5天,4.18亿,5404.52万,4.2%,39748,8.3%,28.4,28.6%
2025-02-02,蛟龙行动,上映5天,2.40亿,2993.39万,2.3%,27810,5.8%,20.8,25.3%
2025-02-02,射雕英雄传：侠之大者,上映5天,5.44亿,2875.80万,2.2%,25346,5.3%,24.1,25.7%
2025-02-02,误杀3,上映37天,9.30亿,10.32万,<0.1%,343,<0.1%,7.0,7.7%
2025-02-02,地球脉动：极境生存,,479.6万,9.97万,<0.1%,19,<0.1%,148.5,--
2025-02-02,异乡来客,上映45天,52.6万,6.79万,<0.1%,14,<0.1%,115.4,--
2025-02-02,名侦探柯南：迷宫的十字路口,上映38天,1.47亿,3.97万,<0.1%,108,<0.1%,8.8,10.5%
2025-02-02,“骗骗”喜欢你,上映34天,4.43亿,3.85万,<0.1%,151,<0.1%,7.2,8.6%
2025-02-02,雄狮少年2,上映51天,8048.2万,3.64万,<0.1%,52,<0.1%,16.8,16.9%
2025-02-02,狮子王：木法沙传奇,上映45天,1.23亿,2.50万,<0.1%,60,<0.1%,9.2,10.6%
2025-02-02,破·地狱,上映51天,2.10亿,2.41万,<0.1%,38,<0.1%,15.7,17.2%
2025-02-02,刺猬索尼克3,上映24天,4393.0万,1.57万,<0.1%,65,<0.1%,6.1,7.3%
2025-02-02,北极荒原,展映,195.6万,1.44万,<0.1%,1,<0.1%,335.0,100.0%
2025-02-02,加拉帕戈斯：自然的仙境,展映,99.1万,1.22万,<0.1%,1,<0.1%,285.0,86.4%
2025-02-02,碟仙玩偶,上映24天,343.4万,1.21万,<0.1%,64,<0.1%,5.5,5.4%
2025-02-02,天龙押运,上映45天,30.4万,1.11万,<0.1%,8,<0.1%,35.0,20.5%
2025-02-02,波提切利，佛罗伦萨和美第奇家族,上映52天,223.7万,1.05万,<0.1%,5,<0.1%,38.8,38.4%
2025-02-02,小小的我,上映38天,7.65亿,0.94万,<0.1%,28,<0.1%,8.0,10.3%
2025-02-02,帕丁顿熊3：秘鲁大冒险,上映33天,4557.8万,0.85万,<0.1%,37,<0.1%,5.5,7.5%
2025-02-02,火锅艺术家,上映31天,5905.2万,0.79万,<0.1%,80,<0.1%,3.4,3.2%
2025-02-02,吉庆街火,上映5天,8131,0.78万,<0.1%,5,<0.1%,34.0,46.8%
2025-02-02,误判,上映38天,2.70亿,0.74万,<0.1%,19,<0.1%,7.9,10.3%
2025-02-02,超级的我,,1230.9万,0.65万,<0.1%,8,<0.1%,21.6,--
2025-02-02,康熙与路易十四,,255.5万,0.65万,<0.1%,2,<0.1%,67.5,63.2%
2025-02-02,去唱卡拉OK吧！,上映17天,388.4万,0.52万,<0.1%,2,<0.1%,36.0,28.7%
2025-02-02,好东西,上映73天,7.21亿,0.43万,<0.1%,11,<0.1%,8.2,9.3%
2025-02-02,穿越时空的少女,上映23天,814.8万,0.39万,<0.1%,13,<0.1%,6.5,6.5%
2025-02-02,完美的日子,上映80天,312.6万,0.33万,<0.1%,3,<0.1%,23.0,42.3%
2025-02-02,奇妙萌可大电影,,1117.1万,0.32万,<0.1%,7,<0.1%,11.6,18.2%
2025-02-02,假爸爸,上映24天,4050.4万,0.29万,<0.1%,27,<0.1%,4.3,3.8%
2025-02-02,窗前明月，咣！,上映34天,3975.7万,0.16万,<0.1%,10,<0.1%,4.4,4.0%
2025-02-02,机器人之梦,,1189.2万,0.16万,<0.1%,2,<0.1%,20.0,27.9%
2025-02-02,真爱找麻烦！,上映16天,454.4万,0.09万,<0.1%,7,<0.1%,4.7,6.5%
2025-02-02,我谈的那场恋爱,上映80天,664.5万,0.09万,<0.1%,2,<0.1%,10.0,57.8%
