日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-10-01,749局,上映首日,1.74亿,17396.15万,35.1%,100060,20.4%,42.1,34.5%
2024-10-01,志愿军：存亡之战,上映2天,2.01亿,15328.52万,30.9%,108874,22.2%,33.4,22.1%
2024-10-01,浴火之路,上映首日,7367.6万,7346.65万,14.8%,85610,17.5%,21.6,17.2%
2024-10-01,危机航线,上映2天,4995.4万,2821.64万,5.7%,46848,9.5%,14.1,13.6%
2024-10-01,熊猫计划,上映首日,2797.7万,2787.67万,5.6%,42430,8.6%,18.6,19.2%
2024-10-01,变形金刚：起源,上映5天,7367.4万,908.47万,1.8%,9767,1.9%,21.5,17.1%
2024-10-01,爆款好人,上映首日,835.1万,820.39万,1.6%,24055,4.9%,8.0,8.7%
2024-10-01,出入平安,上映2天,1273.8万,639.02万,1.2%,29631,6.0%,5.2,5.5%
2024-10-01,新大头儿子和小头爸爸6：迷你大冒险,上映首日,662.7万,612.26万,1.2%,18084,3.7%,9.7,9.8%
2024-10-01,只此青绿,上映首日,1015.0万,418.03万,0.8%,13276,2.7%,7.4,8.0%
2024-10-01,皮皮鲁和鲁西西之309暗室,,129.6万,128.86万,0.2%,6606,1.3%,5.5,5.4%
2024-10-01,荒野机器人,上映12天,3738.3万,89.85万,0.1%,879,0.1%,24.0,25.3%
2024-10-01,里斯本丸沉没,上映26天,3599.1万,58.48万,0.1%,398,<0.1%,32.3,37.3%
2024-10-01,出走的决心,上映17天,1.14亿,26.64万,<0.1%,312,<0.1%,19.2,22.4%
2024-10-01,野孩子,上映19天,2.37亿,24.46万,<0.1%,308,<0.1%,21.4,28.6%
2024-10-01,奇妙萌可大电影,上映17天,826.5万,12.64万,<0.1%,285,<0.1%,12.5,15.3%
2024-10-01,名侦探柯南：百万美元的五棱星,上映47天,2.83亿,12.22万,<0.1%,142,<0.1%,22.0,28.1%
2024-10-01,异形：夺命舰,上映47天,7.83亿,11.58万,<0.1%,184,<0.1%,15.5,18.5%
2024-10-01,车库,上映12天,23.1万,7.40万,<0.1%,90,<0.1%,21.4,1.4%
2024-10-01,神偷奶爸4,上映82天,4.23亿,6.76万,<0.1%,135,<0.1%,13.2,14.4%
2024-10-01,抓娃娃,上映78天,33.26亿,5.50万,<0.1%,106,<0.1%,12.7,15.7%
2024-10-01,苍穹,展映,2692.9万,3.66万,<0.1%,8,<0.1%,114.4,--
2024-10-01,夏日心灵,上映6天,7.7万,3.51万,<0.1%,5,<0.1%,165.2,1.2%
2024-10-01,开国将帅授衔1955,,793.4万,3.49万,<0.1%,32,<0.1%,28.8,--
2024-10-01,姥姥的外孙,上映40天,1.26亿,2.18万,<0.1%,41,<0.1%,13.3,16.4%
2024-10-01,白蛇：浮生,上映53天,4.24亿,2.16万,<0.1%,58,<0.1%,9.3,9.9%
2024-10-01,细菌大作战,,18.5万,1.76万,<0.1%,4,<0.1%,147.0,--
2024-10-01,通往夏天的隧道，再见的出口,上映33天,1606.2万,1.61万,<0.1%,27,<0.1%,14.4,17.1%
2024-10-01,幸福的模样,上映58天,32.6万,1.33万,<0.1%,6,<0.1%,64.3,--
2024-10-01,加拉帕戈斯：自然的仙境,展映,72.3万,0.88万,<0.1%,1,<0.1%,205.0,64.1%
2024-10-01,北极荒原,展映,159.7万,0.87万,<0.1%,1,<0.1%,203.0,59.6%
2024-10-01,祝你幸福！,上映17天,5977.5万,0.57万,<0.1%,39,<0.1%,3.6,8.9%
2024-10-01,逆行人生,上映54天,3.59亿,0.54万,<0.1%,6,<0.1%,22.5,6.5%
2024-10-01,喜羊羊与灰太狼之守护,上映75天,9114.5万,0.54万,<0.1%,28,<0.1%,5.7,3.4%
2024-10-01,刺猬,上映40天,1.44亿,0.49万,<0.1%,6,<0.1%,23.5,--
2024-10-01,草原的夏天,,4500,0.45万,<0.1%,1,<0.1%,150.0,--
2024-10-01,冬天没有童话,,4769,0.45万,<0.1%,1,<0.1%,150.0,--
2024-10-01,非洲：塞伦盖蒂国家公园,,4500,0.45万,<0.1%,1,<0.1%,150.0,--
2024-10-01,荧屏奇遇,,4500,0.45万,<0.1%,1,<0.1%,150.0,--
2024-10-01,加班惊魂,上映53天,447.0万,0.43万,<0.1%,23,<0.1%,5.7,5.8%
2024-10-01,与你相遇的日子,上映5天,198.4万,0.35万,<0.1%,1,<0.1%,100.0,89.4%
2024-10-01,一雪前耻,上映17天,9380.7万,0.33万,<0.1%,42,<0.1%,2.1,2.2%
2024-10-01,解密,上映60天,3.34亿,0.32万,<0.1%,15,<0.1%,6.2,31.9%
2024-10-01,超级的我,,1216.4万,0.30万,<0.1%,8,<0.1%,10.0,--
2024-10-01,富都青年,上映11天,335.4万,0.27万,<0.1%,10,<0.1%,4.8,11.1%
2024-10-01,大圣降妖,上映17天,213.5万,0.24万,<0.1%,24,<0.1%,3.5,2.8%
2024-10-01,重生,上映47天,4.64亿,0.22万,<0.1%,27,<0.1%,2.0,3.2%
2024-10-01,开国宴风云,上映12天,7.4万,0.21万,<0.1%,3,<0.1%,20.0,15.6%
2024-10-01,默杀,上映91天,13.51亿,0.19万,<0.1%,10,<0.1%,4.7,6.5%
2024-10-01,音乐课,点映,2023,0.16万,<0.1%,3,<0.1%,17.3,7.7%
2024-10-01,金色少年,上映29天,17.6万,0.14万,<0.1%,1,<0.1%,56.0,--
2024-10-01,寻秘自然：地球往事,上映80天,148.4万,0.13万,<0.1%,1,<0.1%,67.0,--
2024-10-01,从21世纪安全撤离,上映61天,1.12亿,0.10万,<0.1%,11,<0.1%,2.1,6.8%
2024-10-01,负负得正,上映53天,7008.0万,0.09万,<0.1%,1,<0.1%,16.0,--
2024-10-01,流浪地球2,,40.43亿,0.09万,<0.1%,5,<0.1%,5.6,4.9%
2024-10-01,金陵御猫,重映39天,113.0万,0.07万,<0.1%,3,<0.1%,7.0,12.5%
2024-10-01,地球脉动：极境生存,上映67天,294.8万,0.07万,<0.1%,3,<0.1%,7.0,16.2%
2024-10-01,全员嫌疑人,上映17天,2170.8万,0.06万,<0.1%,20,<0.1%,0.9,1.3%
2024-10-01,踢出个未来,上映4天,114.4万,0.04万,<0.1%,69,<0.1%,0.2,0.2%
2024-10-01,慧能前传,上映22天,16.1万,0.04万,<0.1%,3,<0.1%,5.3,--
2024-10-01,江南：在爱开始的地方等你,上映17天,342.3万,0.03万,<0.1%,5,<0.1%,1.6,7.2%
2024-10-01,非礼勿言,上映18天,322.2万,0.02万,<0.1%,6,<0.1%,1.2,1.4%
2024-10-01,蛋宝大营救,上映25天,542.2万,0.02万,<0.1%,8,<0.1%,1.0,0.9%
2024-10-01,志愿军：雄兵出击,,8.68亿,0.02万,<0.1%,4,<0.1%,1.3,4.5%
2024-10-01,大场面,上映17天,1243.1万,0.01万,<0.1%,11,<0.1%,0.5,0.2%
2024-10-01,皮皮鲁与鲁西西之罐头小人,,5784.4万,0.01万,<0.1%,3,<0.1%,2.3,1.7%
2024-10-01,我是哪吒2之英雄归来,,1775.4万,0.01万,<0.1%,4,<0.1%,1.3,3.1%
2024-10-01,流浪地球2：再次冒险,上映17天,52.9万,0.00万,<0.1%,4,<0.1%,0.5,0.4%
2024-10-01,老师，您好！,上映22天,4.5万,0.00万,<0.1%,1,<0.1%,3.0,1.9%
2024-10-01,泪光中的妈妈,,131.6万,0.00万,<0.1%,2,<0.1%,0.5,1.0%
2024-10-01,守龙者,上映46天,82.9万,0.00万,<0.1%,1,<0.1%,1.0,--
2024-10-01,阿莫阿依,,1313.5万,0.00万,<0.1%,1,<0.1%,1.0,--
2024-10-01,最可爱的人,,522.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,六号银像,,36.2万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,来福大酒店,上映96天,5644.3万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,森林飞侠,上映17天,40.0万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,浪漫的断章,上映50天,16.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,流浪地球,,46.87亿,0万,<0.1%,2,<0.1%,0.0,--
2024-10-01,一生交给党,,314.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,西游记之孙悟空三打白骨精,,11.98亿,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,头脑特工队2,,3.44亿,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,白夜书店,上映5天,507,0万,<0.1%,3,<0.1%,0.0,2.8%
2024-10-01,海绵宝宝,,5667.0万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,食神,上映32天,643.8万,0万,<0.1%,2,<0.1%,0.0,--
2024-10-01,逆鳞,上映40天,1.75亿,0万,<0.1%,4,<0.1%,0.0,--
2024-10-01,我的爷爷,上映12天,134.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,西施新传,上映17天,5.1万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,看不见的朋友,上映12天,72.7万,0万,<0.1%,2,<0.1%,0.0,--
2024-10-01,国歌,,5.7万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,暴风,,4359.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,门前宝地,上映12天,146.5万,0万,<0.1%,4,<0.1%,0.0,--
2024-10-01,忠爱无言2,,86.4万,0万,<0.1%,10,<0.1%,0.0,--
2024-10-01,记忆消失前,上映12天,8.1万,0万,<0.1%,3,<0.1%,0.0,--
2024-10-01,你是我的英雄,,1103.2万,0万,<0.1%,7,<0.1%,0.0,--
2024-10-01,魔幻奇缘之宝石公主,,813.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,金腰带,上映40天,114.1万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,加菲猫家族,,1.84亿,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,堡垒,,280.9万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-01,二郎神之深海蛟龙,上映81天,414.2万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,志愿军：存亡之战,上映3天,3.38亿,13774.49万,36.8%,102735,21.4%,32.1,21.2%
2024-10-02,749局,上映2天,2.51亿,7727.02万,20.6%,107069,22.4%,17.5,13.4%
2024-10-02,浴火之路,上映2天,1.40亿,6719.24万,17.9%,77279,16.1%,22.1,18.1%
2024-10-02,熊猫计划,上映2天,5953.7万,3155.98万,8.4%,45604,9.5%,19.6,20.2%
2024-10-02,危机航线,上映3天,7566.8万,2571.38万,6.8%,40168,8.4%,15.0,15.2%
2024-10-02,变形金刚：起源,上映6天,8795.9万,1428.42万,3.8%,34077,7.1%,10.1,9.3%
2024-10-02,新大头儿子和小头爸爸6：迷你大冒险,上映2天,1094.8万,432.08万,1.1%,17060,3.5%,7.4,7.6%
2024-10-02,爆款好人,上映2天,1182.3万,347.25万,0.9%,13769,2.8%,5.9,6.6%
2024-10-02,只此青绿,上映2天,1312.9万,297.92万,0.7%,7943,1.6%,8.7,8.4%
2024-10-02,出入平安,上映3天,1565.6万,291.74万,0.7%,18580,3.8%,3.8,4.3%
2024-10-02,荒野机器人,上映13天,3874.5万,136.16万,0.3%,2105,0.4%,15.4,15.2%
2024-10-02,皮皮鲁和鲁西西之309暗室,,230.2万,100.64万,0.2%,5122,1.0%,5.5,5.5%
2024-10-02,里斯本丸沉没,上映27天,3688.1万,89.02万,0.2%,1219,0.2%,16.9,18.2%
2024-10-02,出走的决心,上映18天,1.15亿,57.24万,0.1%,940,0.1%,14.0,15.8%
2024-10-02,野孩子,上映20天,2.38亿,38.95万,0.1%,661,0.1%,15.5,18.6%
2024-10-02,名侦探柯南：百万美元的五棱星,上映48天,2.83亿,33.91万,<0.1%,457,<0.1%,19.6,23.5%
2024-10-02,异形：夺命舰,上映48天,7.83亿,33.67万,<0.1%,622,0.1%,13.3,13.5%
2024-10-02,奇妙萌可大电影,上映18天,851.6万,25.13万,<0.1%,490,0.1%,14.1,16.4%
2024-10-02,抓娃娃,上映79天,33.26亿,13.57万,<0.1%,254,<0.1%,12.7,14.7%
2024-10-02,神偷奶爸4,上映83天,4.23亿,13.28万,<0.1%,314,<0.1%,11.2,11.9%
2024-10-02,白蛇：浮生,上映54天,4.24亿,7.38万,<0.1%,119,<0.1%,15.5,16.5%
2024-10-02,车库,上映13天,29.7万,6.55万,<0.1%,113,<0.1%,15.8,1.9%
2024-10-02,姥姥的外孙,上映41天,1.26亿,5.95万,<0.1%,109,<0.1%,14.3,15.0%
2024-10-02,通往夏天的隧道，再见的出口,上映34天,1611.9万,5.70万,<0.1%,73,<0.1%,18.7,19.8%
2024-10-02,假如，我是这世上最爱你的人,上映41天,1503.2万,4.85万,<0.1%,61,<0.1%,73.2,40.9%
2024-10-02,苍穹,展映,2696.5万,3.58万,<0.1%,8,<0.1%,111.9,--
2024-10-02,夏日心灵,上映7天,10.5万,2.77万,<0.1%,4,<0.1%,164.3,--
2024-10-02,开国将帅授衔1955,,795.1万,1.77万,<0.1%,17,<0.1%,28.6,--
2024-10-02,冬天没有童话,,2.0万,1.62万,<0.1%,3,<0.1%,180.0,--
2024-10-02,流浪地球2,,40.43亿,1.34万,<0.1%,21,<0.1%,11.0,8.5%
2024-10-02,喜羊羊与灰太狼之守护,上映76天,9115.8万,1.21万,<0.1%,54,<0.1%,7.0,7.7%
2024-10-02,重生,上映48天,4.64亿,1.03万,<0.1%,76,<0.1%,3.1,3.5%
2024-10-02,祝你幸福！,上映18天,5978.5万,0.99万,<0.1%,57,<0.1%,4.5,8.4%
2024-10-02,富都青年,上映12天,336.3万,0.93万,<0.1%,12,<0.1%,16.8,19.6%
2024-10-02,加拉帕戈斯：自然的仙境,展映,73.2万,0.92万,<0.1%,1,<0.1%,214.0,67.0%
2024-10-02,幸福的模样,上映59天,33.5万,0.91万,<0.1%,3,<0.1%,93.0,--
2024-10-02,北极荒原,展映,160.5万,0.86万,<0.1%,1,<0.1%,200.0,64.1%
2024-10-02,逆行人生,上映55天,3.59亿,0.77万,<0.1%,18,<0.1%,11.1,12.4%
2024-10-02,超级的我,,1217.1万,0.74万,<0.1%,8,<0.1%,24.9,--
2024-10-02,开国宴风云,上映13天,8.1万,0.73万,<0.1%,9,<0.1%,29.9,43.7%
2024-10-02,康熙与路易十四,,196.6万,0.60万,<0.1%,2,<0.1%,73.0,20.3%
2024-10-02,加班惊魂,上映54天,447.6万,0.54万,<0.1%,29,<0.1%,6.0,6.9%
2024-10-02,草原的夏天,,9900,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-02,细菌大作战,,19.0万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-02,非洲：塞伦盖蒂国家公园,,9900,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-02,熊猫盼盼,展映,39.6万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-02,荧屏奇遇,,9900,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-02,一雪前耻,上映18天,9381.0万,0.34万,<0.1%,58,<0.1%,1.5,1.4%
2024-10-02,踢出个未来,上映5天,114.7万,0.32万,<0.1%,166,<0.1%,0.6,0.6%
2024-10-02,富贵东西,,310.7万,0.32万,<0.1%,25,<0.1%,3.2,--
2024-10-02,默杀,上映92天,13.51亿,0.29万,<0.1%,13,<0.1%,5.5,9.1%
2024-10-02,大圣降妖,上映18天,213.8万,0.26万,<0.1%,24,<0.1%,3.2,4.8%
2024-10-02,乡见未晚,上映20天,26.9万,0.18万,<0.1%,4,<0.1%,15.3,19.5%
2024-10-02,人海同游,上映37天,75.9万,0.16万,<0.1%,1,<0.1%,43.0,41.1%
2024-10-02,大场面,上映18天,1243.2万,0.14万,<0.1%,12,<0.1%,3.4,3.1%
2024-10-02,音乐课,点映,3465,0.14万,<0.1%,1,<0.1%,46.0,14.0%
2024-10-02,地球脉动：极境生存,上映68天,295.0万,0.13万,<0.1%,3,<0.1%,12.3,31.0%
2024-10-02,慧能前传,上映23天,16.2万,0.12万,<0.1%,5,<0.1%,10.2,12.0%
2024-10-02,金陵御猫,重映40天,113.0万,0.09万,<0.1%,3,<0.1%,8.7,17.6%
2024-10-02,新龙门客栈（舞台纪录电影·越剧）,上映34天,609.7万,0.08万,<0.1%,3,<0.1%,5.7,4.3%
2024-10-02,解密,上映61天,3.34亿,0.08万,<0.1%,14,<0.1%,1.3,10.3%
2024-10-02,航海王：强者天下,上映41天,1245.1万,0.07万,<0.1%,3,<0.1%,8.0,3.3%
2024-10-02,森林飞侠,上映18天,40.1万,0.06万,<0.1%,9,<0.1%,2.2,2.0%
2024-10-02,魔幻奇缘之宝石公主,,813.6万,0.05万,<0.1%,3,<0.1%,6.7,6.6%
2024-10-02,全员嫌疑人,上映18天,2170.9万,0.05万,<0.1%,14,<0.1%,0.8,1.2%
2024-10-02,门前宝地,上映13天,146.6万,0.04万,<0.1%,1,<0.1%,15.0,--
2024-10-02,洛神,,6.8万,0.03万,<0.1%,1,<0.1%,27.0,23.3%
2024-10-02,刺猬,上映41天,1.44亿,0.03万,<0.1%,4,<0.1%,1.8,4.6%
2024-10-02,蛋宝大营救,上映26天,542.3万,0.03万,<0.1%,11,<0.1%,0.9,0.7%
2024-10-02,非礼勿言,上映19天,322.2万,0.03万,<0.1%,8,<0.1%,1.0,0.7%
2024-10-02,加菲猫家族,,1.84亿,0.03万,<0.1%,2,<0.1%,3.5,8.8%
2024-10-02,食神,上映33天,643.9万,0.01万,<0.1%,3,<0.1%,1.7,0.8%
2024-10-02,志愿军：雄兵出击,,8.68亿,0.01万,<0.1%,5,<0.1%,0.8,0.8%
2024-10-02,我是哪吒2之英雄归来,,1775.4万,0.01万,<0.1%,4,<0.1%,1.3,0.6%
2024-10-02,逆鳞,上映41天,1.75亿,0.00万,<0.1%,3,<0.1%,0.7,1.4%
2024-10-02,皮皮鲁与鲁西西之罐头小人,,5784.4万,0.00万,<0.1%,1,<0.1%,2.0,1.2%
2024-10-02,与孩子一同成长,上映23天,14.6万,0.00万,<0.1%,1,<0.1%,3.0,--
2024-10-02,老师，您好！,上映23天,4.5万,0.00万,<0.1%,1,<0.1%,3.0,1.9%
2024-10-02,我的爷爷,上映13天,134.6万,0.00万,<0.1%,108,<0.1%,<0.1,0.0%
2024-10-02,守龙者,上映47天,82.9万,0.00万,<0.1%,2,<0.1%,0.5,2.9%
2024-10-02,阿莫阿依,,1313.6万,0.00万,<0.1%,1,<0.1%,1.0,--
2024-10-02,泪光中的妈妈,,131.6万,0.00万,<0.1%,2,<0.1%,0.5,0.3%
2024-10-02,忠爱无言2,,86.4万,0.00万,<0.1%,8,<0.1%,0.1,0.3%
2024-10-02,出发,上映94天,643.2万,0.00万,<0.1%,1,<0.1%,8.0,--
2024-10-02,六号银像,,36.2万,0万,<0.1%,2,<0.1%,0.0,--
2024-10-02,时光记忆,上映12天,6740,0万,<0.1%,2,<0.1%,0.0,--
2024-10-02,柳山,上映13天,2624,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,浪漫的断章,上映51天,16.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,流浪地球,,46.87亿,0万,<0.1%,2,<0.1%,0.0,--
2024-10-02,与你相遇的日子,上映6天,198.4万,0万,<0.1%,2,<0.1%,0.0,--
2024-10-02,一生交给党,,314.6万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,我们的岁月,,1022.3万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,头脑特工队2,,3.44亿,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,流浪地球2：再次冒险,上映18天,52.9万,0万,<0.1%,3,<0.1%,0.0,--
2024-10-02,白夜书店,上映6天,507,0万,<0.1%,2,<0.1%,0.0,0.4%
2024-10-02,从21世纪安全撤离,上映62天,1.12亿,0万,<0.1%,7,<0.1%,0.0,--
2024-10-02,海绵宝宝,,5667.0万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,禹城秘事,,11.9万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,西施新传,上映18天,5.1万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,红楼梦之金玉良缘,上映48天,600.4万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,看不见的朋友,上映13天,72.7万,0万,<0.1%,2,<0.1%,0.0,2.1%
2024-10-02,你是我的英雄,,1103.2万,0万,<0.1%,10,<0.1%,0.0,--
2024-10-02,金腰带,上映41天,114.1万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,江南：在爱开始的地方等你,上映18天,342.3万,0万,<0.1%,3,<0.1%,0.0,3.8%
2024-10-02,堡垒,,280.9万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-02,二郎神之深海蛟龙,上映82天,414.2万,0万,<0.1%,1,<0.1%,0.0,--
2024-10-03,志愿军：存亡之战,上映4天,4.65亿,12665.57万,40.3%,112969,24.1%,26.9,17.3%
2024-10-03,浴火之路,上映3天,2.00亿,5927.85万,18.8%,83208,17.8%,18.1,15.0%
2024-10-03,749局,上映3天,2.90亿,3911.44万,12.4%,81636,17.4%,11.7,9.5%
2024-10-03,熊猫计划,上映3天,9381.5万,3427.81万,10.9%,58965,12.6%,16.5,16.3%
2024-10-03,危机航线,上映4天,1.01亿,2594.41万,8.2%,47508,10.1%,12.8,12.8%
2024-10-03,变形金刚：起源,上映7天,9820.7万,1024.82万,3.2%,20628,4.4%,12.0,10.6%
2024-10-03,新大头儿子和小头爸爸6：迷你大冒险,上映3天,1451.3万,356.49万,1.1%,15718,3.3%,6.7,7.0%
2024-10-03,只此青绿,上映3天,1657.4万,344.49万,1.0%,9060,1.9%,8.8,8.5%
2024-10-03,爆款好人,上映3天,1412.4万,230.09万,0.7%,9263,1.9%,5.7,6.6%
2024-10-03,出入平安,上映4天,1790.9万,225.31万,0.7%,10289,2.2%,5.3,6.1%
2024-10-03,荒野机器人,上映14天,4043.7万,169.17万,0.5%,3729,0.7%,10.9,10.3%
2024-10-03,里斯本丸沉没,上映28天,3772.4万,84.33万,0.2%,1715,0.3%,11.4,11.7%
2024-10-03,出走的决心,上映19天,1.15亿,72.62万,0.2%,1610,0.3%,10.6,11.5%
2024-10-03,皮皮鲁和鲁西西之309暗室,,299.8万,69.57万,0.2%,4295,0.9%,4.7,4.7%
2024-10-03,名侦探柯南：百万美元的五棱星,上映49天,2.83亿,46.06万,0.1%,802,0.1%,15.2,16.2%
2024-10-03,野孩子,上映21天,2.38亿,44.48万,0.1%,975,0.2%,12.1,14.7%
2024-10-03,异形：夺命舰,上映49天,7.84亿,41.50万,0.1%,957,0.2%,11.0,10.7%
2024-10-03,奇妙萌可大电影,上映19天,892.0万,40.42万,0.1%,1469,0.3%,7.8,8.6%
2024-10-03,神偷奶爸4,上映84天,4.23亿,15.37万,<0.1%,478,0.1%,8.5,9.5%
2024-10-03,抓娃娃,上映80天,33.26亿,14.78万,<0.1%,370,<0.1%,9.7,11.5%
2024-10-03,白蛇：浮生,上映55天,4.24亿,9.80万,<0.1%,203,<0.1%,12.1,14.2%
2024-10-03,姥姥的外孙,上映42天,1.26亿,6.02万,<0.1%,182,<0.1%,9.0,9.3%
2024-10-03,通往夏天的隧道，再见的出口,上映35天,1617.3万,5.34万,<0.1%,97,<0.1%,13.1,15.1%
2024-10-03,车库,上映14天,35.0万,5.30万,<0.1%,107,<0.1%,14.0,2.0%
2024-10-03,富贵东西,,315.0万,4.24万,<0.1%,22,<0.1%,51.4,--
2024-10-03,苍穹,展映,2699.9万,3.40万,<0.1%,8,<0.1%,106.3,--
2024-10-03,踢出个未来,上映6天,117.2万,2.44万,<0.1%,193,<0.1%,5.0,1.9%
2024-10-03,夏日心灵,上映8天,12.9万,2.38万,<0.1%,3,<0.1%,187.3,--
2024-10-03,流浪地球2,,40.43亿,2.34万,<0.1%,38,<0.1%,9.5,6.7%
2024-10-03,开国将帅授衔1955,,797.2万,2.09万,<0.1%,30,<0.1%,19.5,--
2024-10-03,冬天没有童话,,3.7万,1.62万,<0.1%,3,<0.1%,180.0,--
2024-10-03,重生,上映49天,4.64亿,1.42万,<0.1%,140,<0.1%,2.4,2.7%
2024-10-03,祝你幸福！,上映19天,5979.8万,1.26万,<0.1%,81,<0.1%,4.0,5.0%
2024-10-03,喜羊羊与灰太狼之守护,上映77天,9116.9万,1.13万,<0.1%,77,<0.1%,4.7,5.3%
2024-10-03,北极荒原,展映,161.4万,0.88万,<0.1%,1,<0.1%,206.0,64.4%
2024-10-03,加拉帕戈斯：自然的仙境,展映,74.1万,0.84万,<0.1%,1,<0.1%,197.0,59.6%
2024-10-03,富都青年,上映13天,337.1万,0.72万,<0.1%,23,<0.1%,6.5,8.7%
2024-10-03,幸福的模样,上映60天,34.2万,0.72万,<0.1%,4,<0.1%,54.5,--
2024-10-03,逆行人生,上映56天,3.59亿,0.69万,<0.1%,31,<0.1%,5.7,2.9%
2024-10-03,超级的我,,1217.8万,0.66万,<0.1%,8,<0.1%,22.1,--
2024-10-03,开国宴风云,上映14天,8.7万,0.60万,<0.1%,7,<0.1%,31.3,43.6%
2024-10-03,草原的夏天,,1.5万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-03,荧屏奇遇,,1.5万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-03,熊猫盼盼,展映,40.1万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-03,细菌大作战,,19.6万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-03,非洲：塞伦盖蒂国家公园,,1.5万,0.54万,<0.1%,1,<0.1%,180.0,--
2024-10-03,加班惊魂,上映55天,448.1万,0.53万,<0.1%,44,<0.1%,3.9,4.1%
2024-10-03,康熙与路易十四,,197.2万,0.50万,<0.1%,2,<0.1%,61.5,12.5%
2024-10-03,一雪前耻,上映19天,9381.5万,0.46万,<0.1%,94,<0.1%,1.1,1.2%
2024-10-03,默杀,上映93天,13.51亿,0.36万,<0.1%,16,<0.1%,5.6,7.1%
2024-10-03,我的爷爷,上映14天,135.0万,0.33万,<0.1%,14,<0.1%,8.1,6.3%
2024-10-03,大圣降妖,上映19天,214.1万,0.32万,<0.1%,43,<0.1%,2.2,3.1%
2024-10-03,乡见未晚,上映21天,27.1万,0.23万,<0.1%,9,<0.1%,8.6,10.5%
2024-10-03,金陵御猫,重映41天,113.2万,0.18万,<0.1%,5,<0.1%,9.8,17.5%
2024-10-03,泪光中的妈妈,,131.7万,0.15万,<0.1%,4,<0.1%,17.8,16.6%
2024-10-03,阿莫阿依,,1313.7万,0.11万,<0.1%,1,<0.1%,47.0,--
2024-10-03,非礼勿言,上映20天,322.3万,0.11万,<0.1%,13,<0.1%,2.2,1.2%
2024-10-03,航海王：强者天下,上映42天,1245.2万,0.10万,<0.1%,7,<0.1%,4.9,0.8%
2024-10-03,全员嫌疑人,上映19天,2171.0万,0.10万,<0.1%,19,<0.1%,1.4,1.5%
2024-10-03,音乐课,点映,4369,0.09万,<0.1%,2,<0.1%,14.5,2.1%
