日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-07-01,云边有个小卖部,上映10天,3.76亿,1712.80万,28.9%,99480,25.2%,4.3,3.1%
2024-07-01,海关战线,上映4天,8441.4万,1001.50万,16.9%,73048,18.5%,3.2,2.3%
2024-07-01,寂静之地：入侵日,上映4天,8148.7万,979.78万,16.5%,70242,17.8%,3.5,2.7%
2024-07-01,头脑特工队2,上映11天,1.83亿,947.76万,15.9%,51163,12.9%,4.6,3.9%
2024-07-01,来福大酒店,上映4天,4681.8万,354.49万,5.9%,27170,6.9%,3.2,3.3%
2024-07-01,我才不要和你做朋友呢,上映24天,2.00亿,106.51万,1.7%,11477,2.9%,2.3,2.5%
2024-07-01,出发,上映首日,141.4万,103.35万,1.7%,1671,0.4%,19.1,25.6%
2024-07-01,排球少年!! 垃圾场决战,上映17天,1.18亿,101.95万,1.7%,14318,3.6%,1.9,1.8%
2024-07-01,加菲猫家族,上映31天,1.76亿,96.23万,1.6%,8748,2.2%,3.0,3.0%
2024-07-01,扫黑·决不放弃,上映24天,1.91亿,51.39万,0.8%,5069,1.2%,2.7,3.1%
2024-07-01,唤醒者,上映11天,207.4万,48.90万,0.8%,763,0.1%,18.7,26.7%
2024-07-01,传说,点映,50.5万,45.68万,0.7%,3,<0.1%,864.0,99.3%
2024-07-01,再会长江,上映39天,864.2万,39.74万,0.6%,258,<0.1%,31.6,32.1%
2024-07-01,沙漏,上映11天,2793.0万,38.57万,0.6%,5640,1.4%,1.9,2.2%
2024-07-01,绝地战警：生死与共,上映10天,3529.1万,38.22万,0.6%,6582,1.6%,1.4,1.5%
2024-07-01,谈判专家,上映24天,1.55亿,24.91万,0.4%,2714,0.6%,2.1,2.2%
2024-07-01,疯狂的麦克斯：狂暴女神,上映25天,5935.6万,19.65万,0.3%,1756,0.4%,2.6,2.5%
2024-07-01,机器人之梦,上映24天,1011.6万,14.95万,0.2%,941,0.2%,3.6,3.9%
2024-07-01,永不消逝的电波（舞台纪录电影·舞剧）,上映14天,110.0万,12.19万,0.2%,645,0.1%,4.6,5.2%
2024-07-01,走走停停,上映24天,1.02亿,12.16万,0.2%,2222,0.5%,1.4,1.5%
2024-07-01,狗阵,上映17天,3231.2万,11.67万,0.1%,1373,0.3%,2.0,2.4%
2024-07-01,泳者之心,上映32天,576.5万,10.67万,0.1%,444,0.1%,5.8,5.6%
2024-07-01,绝地重生,,1081.8万,8.42万,0.1%,67,<0.1%,37.9,63.9%
2024-07-01,哆啦A梦：大雄的地球交响乐,上映32天,1.30亿,8.04万,0.1%,1248,0.3%,1.8,2.0%
2024-07-01,白蛇：缘起,,4.69亿,5.85万,<0.1%,923,0.2%,1.7,1.7%
2024-07-01,九龙城寨之围城,,6.84亿,5.57万,<0.1%,585,0.1%,2.3,2.7%
2024-07-01,江海儿女,上映4天,13.5万,4.63万,<0.1%,88,<0.1%,14.8,10.9%
2024-07-01,欢迎来到我身边,点映,19.4万,4.52万,<0.1%,6,<0.1%,130.0,--
2024-07-01,朱同在三年级丢失了超能力,上映38天,1501.4万,4.44万,<0.1%,143,<0.1%,7.8,9.1%
2024-07-01,谯国夫人,点映,3.9万,3.96万,<0.1%,7,<0.1%,149.6,--
2024-07-01,我要当老师,上映75天,1193.6万,3.50万,<0.1%,36,<0.1%,31.9,16.7%
2024-07-01,阿莫阿依,,1243.9万,3.44万,<0.1%,36,<0.1%,32.9,28.3%
2024-07-01,功夫熊猫4,,3.73亿,3.41万,<0.1%,306,<0.1%,2.9,3.0%
2024-07-01,惊心妒怨,上映11天,71.9万,3.24万,<0.1%,754,0.1%,1.4,1.5%
2024-07-01,维和防暴队,上映62天,5.11亿,2.87万,<0.1%,68,<0.1%,11.3,4.3%
2024-07-01,康熙与路易十四,上映40天,159.2万,2.81万,<0.1%,39,<0.1%,21.5,11.5%
2024-07-01,我们的七月,,137.4万,2.67万,<0.1%,20,<0.1%,44.6,8.9%
2024-07-01,堡垒,,234.5万,2.46万,<0.1%,13,<0.1%,75.8,30.0%
2024-07-01,间谍过家家 代号：白,上映63天,2.92亿,2.40万,<0.1%,294,<0.1%,2.3,2.6%
2024-07-01,黄埔军人,,22.2万,2.05万,<0.1%,43,<0.1%,13.9,5.6%
2024-07-01,父亲在远方,上映43天,15.8万,1.77万,<0.1%,32,<0.1%,15.5,3.5%
2024-07-01,六号银像,上映39天,33.4万,1.56万,<0.1%,13,<0.1%,32.4,22.4%
2024-07-01,陌路惊魂,上映18天,123.8万,1.35万,<0.1%,423,0.1%,1.0,1.0%
2024-07-01,周立波回清溪,上映48天,844.6万,1.34万,<0.1%,13,<0.1%,38.7,47.1%
2024-07-01,因你而动,,114.6万,1.30万,<0.1%,6,<0.1%,86.8,--
2024-07-01,哈尔的移动城堡,上映63天,1.67亿,1.29万,<0.1%,202,<0.1%,1.7,2.0%
2024-07-01,你是我的英雄,上映43天,1094.6万,1.29万,<0.1%,87,<0.1%,4.4,1.6%
2024-07-01,哥斯拉大战金刚2：帝国崛起,上映95天,9.56亿,1.26万,<0.1%,193,<0.1%,1.7,1.8%
2024-07-01,美国内战,上映25天,2322.0万,1.21万,<0.1%,215,<0.1%,1.2,1.7%
2024-07-01,李夏·在路上,,79.6万,1.07万,<0.1%,12,<0.1%,21.6,24.4%
2024-07-01,回西藏,,203.2万,1.07万,<0.1%,8,<0.1%,53.8,26.0%
2024-07-01,八百矿工上井冈,,1090.3万,1.06万,<0.1%,4,<0.1%,76.5,--
2024-07-01,你想活出怎样的人生,上映90天,7.91亿,1.01万,<0.1%,129,<0.1%,2.2,2.8%
2024-07-01,长征一家人,上映12天,6.7万,0.98万,<0.1%,23,<0.1%,13.8,10.9%
2024-07-01,末路狂花钱,上映62天,7.81亿,0.97万,<0.1%,129,<0.1%,1.5,1.6%
2024-07-01,猩球崛起：新世界,上映53天,2.09亿,0.96万,<0.1%,176,<0.1%,1.4,1.4%
2024-07-01,爱在陇南,上映75天,64.1万,0.75万,<0.1%,31,<0.1%,6.6,--
2024-07-01,北极荒原,展映,83.6万,0.62万,<0.1%,1,<0.1%,146.0,--
2024-07-01,加拉帕戈斯：自然的仙境,展映,9.1万,0.55万,<0.1%,1,<0.1%,130.0,39.4%
2024-07-01,海风暖暖,展映,19.2万,0.53万,<0.1%,1,<0.1%,134.0,--
2024-07-01,落地生根,,114.5万,0.50万,<0.1%,1,<0.1%,100.0,--
2024-07-01,坂本龙一：杰作,上映32天,480.3万,0.47万,<0.1%,32,<0.1%,3.5,3.5%
2024-07-01,爸爸是外星人,上映17天,499.2万,0.41万,<0.1%,345,<0.1%,0.3,0.4%
2024-07-01,开国将帅授衔1955,,619.7万,0.39万,<0.1%,4,<0.1%,35.0,18.9%
2024-07-01,生命底色,,57.3万,0.37万,<0.1%,2,<0.1%,37.0,--
2024-07-01,黑暗森林,上映11天,3.4万,0.35万,<0.1%,12,<0.1%,8.4,13.7%
2024-07-01,今夜，就算这份爱恋从世界上消失,上映45天,1789.2万,0.34万,<0.1%,60,<0.1%,1.7,2.4%
2024-07-01,大道十年,,23.2万,0.32万,<0.1%,2,<0.1%,64.5,--
2024-07-01,潜艇总动员：寻龙,上映31天,3222.6万,0.30万,<0.1%,195,<0.1%,0.5,0.5%
2024-07-01,我和我的父辈,,14.77亿,0.30万,<0.1%,5,<0.1%,19.2,0.8%
