日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-06-29,云边有个小卖部,上映8天,3.26亿,4068.99万,28.0%,115790,25.5%,8.7,6.6%
2024-06-29,海关战线,上映2天,5323.0万,2819.46万,19.4%,96835,21.3%,6.7,4.5%
2024-06-29,寂静之地：入侵日,上映2天,4988.5万,2806.56万,19.3%,86087,18.9%,8.1,6.6%
2024-06-29,头脑特工队2,上映9天,1.49亿,2631.88万,18.1%,51596,11.3%,12.4,10.8%
2024-06-29,来福大酒店,上映2天,3680.9万,631.92万,4.3%,37471,8.2%,4.1,4.4%
2024-06-29,排球少年!! 垃圾场决战,上映15天,1.15亿,294.38万,2.0%,13883,3.0%,5.5,5.4%
2024-06-29,加菲猫家族,上映29天,1.72亿,238.45万,1.6%,9653,2.1%,6.8,7.1%
2024-06-29,我才不要和你做朋友呢,上映22天,1.97亿,198.21万,1.3%,10017,2.2%,4.9,5.3%
2024-06-29,绝地战警：生死与共,上映8天,3397.4万,100.68万,0.6%,5718,1.2%,4.2,4.5%
2024-06-29,沙漏,上映9天,2699.3万,58.08万,0.4%,4373,0.9%,3.8,4.5%
2024-06-29,扫黑·决不放弃,上映22天,1.90亿,53.07万,0.3%,3814,0.8%,3.6,4.7%
2024-06-29,谈判专家,上映22天,1.54亿,50.45万,0.3%,2172,0.4%,5.4,6.5%
2024-06-29,疯狂的麦克斯：狂暴女神,上映23天,5865.0万,45.20万,0.3%,1139,0.2%,8.8,7.9%
2024-06-29,白蛇：缘起,,4.69亿,44.83万,0.3%,2762,0.6%,4.5,4.4%
2024-06-29,走走停停,上映22天,1.01亿,36.37万,0.2%,1585,0.3%,5.6,7.0%
2024-06-29,哆啦A梦：大雄的地球交响乐,上映30天,1.29亿,34.38万,0.2%,1814,0.3%,5.2,5.7%
2024-06-29,泳者之心,上映30天,534.5万,31.14万,0.2%,358,<0.1%,19.3,20.9%
2024-06-29,机器人之梦,上映22天,964.3万,30.40万,0.2%,737,0.1%,9.7,10.7%
2024-06-29,再会长江,上映37天,795.8万,25.96万,0.1%,86,<0.1%,63.9,66.3%
2024-06-29,狗阵,上映15天,3201.7万,20.97万,0.1%,977,0.2%,4.9,6.7%
2024-06-29,潜艇总动员：寻龙,上映29天,3212.0万,16.95万,0.1%,452,<0.1%,9.7,10.5%
2024-06-29,周立波回清溪,上映46天,821.3万,16.00万,0.1%,36,<0.1%,103.5,69.1%
2024-06-29,我要当老师,上映73天,1181.2万,12.72万,<0.1%,67,<0.1%,60.5,52.6%
2024-06-29,九龙城寨之围城,重映60天,6.84亿,10.41万,<0.1%,445,<0.1%,5.6,6.7%
2024-06-29,猪猪侠大电影·星际行动,上映60天,5463.4万,9.20万,<0.1%,885,0.1%,2.9,3.2%
2024-06-29,唤醒者,上映9天,152.3万,8.54万,<0.1%,203,<0.1%,12.1,14.0%
2024-06-29,永不消逝的电波（舞台纪录电影·舞剧）,上映12天,94.8万,8.20万,<0.1%,341,<0.1%,4.9,5.7%
2024-06-29,功夫熊猫4,上映100天,3.73亿,8.16万,<0.1%,310,<0.1%,6.8,7.8%
2024-06-29,我，就是风!,上映33天,509.5万,7.25万,<0.1%,47,<0.1%,40.5,6.0%
2024-06-29,间谍过家家 代号：白,上映61天,2.92亿,6.50万,<0.1%,312,<0.1%,5.6,6.1%
2024-06-29,哈尔的移动城堡,上映61天,1.67亿,4.78万,<0.1%,207,<0.1%,5.9,7.0%
2024-06-29,八百矿工上井冈,,1087.7万,4.73万,<0.1%,18,<0.1%,98.4,32.2%
